,Unnamed: 0,freq0,freq1,freq2,freq3,freq4,freq5,freq6,freq7,freq8,freq9,genre
30,30,-7728364,767529,-111622,74355,-143603,106392,-98445,49320,43244,-1198,blues
31,31,57338,554000,-49245,88584,-104743,80656,-78841,162044,66794,15235,blues
32,32,-113786,-121752,-96514,-107716,-66677,-113490,-100715,21903,47851,2385,blues
33,33,3734872,-383636,81021,-75149,109745,71306,-132325,-88607,110884,-1462,blues
34,34,-1242774,346419,-324101,-299858,-36290,-69077,-134586,125198,35001,2132,blues
35,35,-4506498,3248618,-67803,325585,-72572,138037,-90901,-17663,19076,-3128,blues
36,36,8669410,-1277489,-256822,-21910,-112112,29669,105078,9501,59833,-5490,blues
37,37,-860910,647466,-87902,10038,8580,92374,3100,-59690,-8240,-8397,blues
38,38,-1312160,-271271,200875,-11623,-86971,-138795,-81722,-156696,-23520,22238,blues
39,39,2057202,-787562,-124914,-17824,-83392,-18957,50162,73978,-14485,-14000,blues
40,40,170808,256881,-530613,-539342,451528,105904,-68407,60269,60211,7115,blues
41,41,-9976010,-1626227,1065764,153040,-73051,38460,182866,101918,-32232,-7024,blues
42,42,-1608400,-582937,201629,38285,-342358,318609,-68314,86162,-16406,3002,blues
43,43,-1621376,-584614,640896,322336,-144813,46278,-144739,18674,-63567,-55392,blues
44,44,-3617302,275534,-518230,63667,280506,-441957,-142116,-60705,-67849,-12607,blues
45,45,-10750106,-234144,-17700,-299836,-61425,8891,-3991,60325,43646,-4150,blues
46,46,-4279656,-209548,-17509,-78392,-2695,-44338,118680,7648,-88679,-7721,blues
47,47,-5742628,621992,-299326,-176796,-173956,68068,36833,72990,26127,6618,blues
48,48,-8695858,516684,412886,-1301537,-263605,5498,-198545,-28344,-19325,11142,blues
49,49,-4399718,-197786,-192929,-71783,68158,-58867,139821,63250,-30159,-7952,blues
50,50,5259680,213368,-562826,306624,-144529,-196284,23694,-125577,54659,-16207,blues
51,51,-4567902,661886,2115508,-1289936,-621891,-325918,162233,-249136,-62916,-9892,blues
52,52,2844078,-351950,-324550,732089,-118184,-98496,33445,7132,19432,6066,blues
53,53,-6389038,-1237931,-601586,-1019447,289611,461746,-162234,-14298,58336,-2619,blues
54,54,1663584,-177589,427989,-318881,631338,-77844,52503,46673,-25936,2420,blues
55,55,6400890,-1111441,-2014326,326764,9995,236725,127421,53675,107360,-9645,blues
56,56,-659580,-701641,471486,28352,-285632,91948,101455,18222,-18309,-10202,blues
57,57,-2121586,587191,-291842,-392032,-229918,171471,-11867,22944,-89918,-18132,blues
58,58,-1136286,301859,193044,-867360,-218377,-172023,154183,66789,92589,10884,blues
59,59,6400858,1320616,-298375,-594719,78993,-95575,145391,86350,51394,38062,blues
60,60,32300,-294033,356760,387234,325091,-232430,34923,130669,-20486,20491,blues
61,61,-1104006,-1181615,-90349,17077,-290226,677475,-167439,188125,-23222,15641,blues
62,62,-1556308,56360,-83685,-83053,20379,400024,467,-156490,55941,-22098,blues
63,63,-2149726,-1175455,-367846,14921,-183104,-501663,132729,44128,-24731,-5406,blues
64,64,4186318,480805,-544432,-212264,5786,165527,202283,-150453,79373,27030,blues
65,65,-5216910,-55742,-315440,303191,187912,24552,163351,113195,-25686,-414,blues
66,66,3836234,-160097,118631,207394,-58481,186610,-183252,110566,-149944,7863,blues
67,67,901186,1693654,-363823,-145952,142784,-323029,-14745,8852,14506,1107,blues
68,68,-3076440,538731,-989882,283888,140656,-151759,143123,111501,30374,-1078,blues
69,69,-3029700,-1976384,1051286,-671211,724806,276979,40824,107547,26029,27146,blues
70,70,-2313780,-404648,-127581,-38440,287749,182325,-128502,106682,20111,-25725,blues
71,71,-5074814,1292856,13616,308791,73857,-111399,-51448,99245,23291,3496,blues
72,72,-4587992,-627400,788515,62928,-67997,255086,-21499,-12164,-4163,-4189,blues
73,73,-295744,3467955,-1060743,-343532,-127138,-431591,65386,-107049,-25014,-53502,blues
74,74,-1710806,118076,-181872,-185094,-197572,-298950,-419203,358741,78135,7641,blues
75,75,-8528592,3616570,653087,206804,-202148,-442885,-72874,37376,10315,-29765,blues
76,76,-14551776,1021827,-1374734,-135187,371627,131611,-251925,67189,57632,-2661,blues
77,77,-1614280,-2087057,-122533,-449419,372679,-46842,26636,-365032,79791,3412,blues
78,78,1148614,866647,1445749,-305622,127557,254742,-108806,3208,195016,-19080,blues
79,79,-1532646,1271367,226265,512339,-24161,173174,-345443,8058,-125857,79396,blues
80,80,6804974,-2492237,-146564,685889,-449991,127355,-46809,-30716,-54712,629,blues
81,81,1995714,-3577645,1310246,-417083,-288872,-257028,23079,-30716,197501,-22212,blues
82,82,2757042,-1314375,197126,-18489,-455818,-317069,112548,77707,-283,-37682,blues
83,83,17976176,628031,936847,-397689,-600476,-366501,-473130,-141557,84577,-5045,blues
84,84,-4651716,1789841,631312,363051,-408100,310364,133386,-142825,77720,14784,blues
85,85,294680,-400842,443136,-95386,81102,-37079,-76558,-18438,-8406,-26426,blues
86,86,791694,-80508,-153225,13088,-100034,-19181,-56789,-50319,26407,-7782,blues
87,87,-3370508,767608,841442,-183063,47257,-148855,-45694,-26832,-18886,-26074,blues
88,88,-1233836,-824643,108728,-70355,67232,-16217,18488,-15015,-16089,-1105,blues
89,89,-766402,106379,-41392,15500,-184,-12753,9222,21639,4686,280,blues
90,90,-169990,361017,-45761,102941,255687,115642,45178,-61240,23401,11030,blues
91,91,-365168,458731,184938,-18394,62039,-32623,14865,-44285,-12832,4565,blues
92,92,-88726,-118635,-228544,158438,9659,-64653,-32056,13800,22527,5599,blues
93,93,-83656,-112621,-41426,74601,11649,24325,-10897,-67267,-9931,-5805,blues
94,94,-242518,-1366060,33611,387148,-71493,-79024,79342,36627,-28322,468,blues
95,95,3833862,-1619695,-515747,326875,-81318,87604,216678,-3660,-68690,-10204,blues
96,96,570598,204720,-215646,-412,85319,-1912,291,1171,-37542,-999,blues
97,97,2713796,1460290,432892,88247,96835,74845,51547,81039,27862,2029,blues
98,98,4071008,78749,-75042,782738,427371,-271097,-114805,-64981,623,-17489,blues
99,99,-494104,1549941,685797,-10710,-107687,163899,15392,-2347,-9399,7203,blues
100,100,712472,196598,-257337,42299,-24990,-20766,-17598,-12122,-7262,-2345,classical
101,101,375692,-130362,-11324,72883,-44753,6478,-12930,-7074,-2354,345,classical
102,102,-35024,225196,-427886,-88023,25583,-31470,7759,-16,313,733,classical
103,103,851480,-63468,-281423,-80875,-109292,1828,-19155,-2512,-10037,307,classical
104,104,1336478,-200765,-163677,-17935,-13544,-35519,18395,167,-18893,-3560,classical
105,105,488708,1095155,-343316,-96785,-16036,43559,740,14457,3780,1147,classical
106,106,2221672,171471,20090,59425,-60523,-15499,-10796,-1374,-1602,900,classical
107,107,-604646,-65909,-33450,67336,61384,-51272,9919,-29055,8134,-1348,classical
108,108,659632,-216230,-236312,147849,-21013,-17011,-9659,-12459,194,-145,classical
109,109,1163312,336222,-44944,-7463,-10021,14428,-2858,8293,-670,930,classical
110,110,-468396,185267,294384,-59878,-13316,19892,21743,1946,1836,476,classical
111,111,303882,194851,119152,15558,-5346,-5070,2919,169,93,240,classical
112,112,-1312762,786332,162087,38932,10764,8752,3848,5658,267,781,classical
113,113,-779758,90516,77847,50373,-25418,-24298,8252,13036,-4097,2316,classical
114,114,13080,273056,-141909,-36218,60504,-1656,7119,-17830,4581,-400,classical
115,115,-683688,188709,174032,29997,39452,-4399,12820,-913,4980,-211,classical
116,116,398792,-7379,-30630,-2203,-2765,-4537,-577,-6138,-1415,-162,classical
117,117,340648,-38963,21518,-94181,3590,14818,5167,-994,-7741,-1411,classical
118,118,-562700,178348,-13567,-13659,12449,-2500,3613,-1061,551,-305,classical
119,119,18574,-28480,15514,-1708,-9284,-2544,-1138,748,699,302,classical
120,120,310376,-262780,215189,-53935,-25355,15466,17584,-4581,172,-1357,classical
121,121,469878,754852,-87760,-4648,-46222,-37397,3349,39831,-10337,-1886,classical
122,122,93778,-403527,-335390,63038,14638,-15131,-8050,261,1485,86,classical
123,123,-476976,-34906,74022,1596,5677,-1116,5963,2536,-140,16,classical
124,124,1980030,-92690,-18697,-35949,64950,-60173,2997,22416,2803,-344,classical
125,125,466798,649162,10904,124806,-88729,-7327,-8891,9517,-4478,2518,classical
126,126,-181088,130689,-10279,64887,-120811,-34680,14832,10649,-1687,572,classical
127,127,-124372,200709,178742,8589,43182,-3450,10525,-3964,4809,-255,classical
128,128,325690,127261,74716,103371,83906,45578,28122,31347,11988,387,classical
129,129,-834018,-266006,-6446,-44246,-34328,2951,13738,18022,-11808,-169,classical
130,130,-808148,-472135,115486,-63905,20862,-3025,-232,-4321,3854,-948,classical
131,131,875772,-301692,-146695,-4001,-14923,1190,1658,560,-2641,25,classical
132,132,-102570,-114345,-12007,-9144,-5184,-3221,318,-1700,-120,-136,classical
133,133,854990,-46883,17994,-30243,-20966,-4630,-2102,-2476,-2025,-304,classical
134,134,-937494,521918,213650,126618,50750,2401,-324,-896,3745,1973,classical
135,135,-998588,-25319,-113157,-74849,23858,6531,-6821,-1869,1300,2581,classical
136,136,-4748,-135381,-35627,-7644,15468,928,-992,-832,-402,0,classical
137,137,982836,-789152,180909,163753,104061,230,-23184,15646,4799,-153,classical
138,138,152370,449281,-285611,51546,60903,29151,9555,1141,4125,1732,classical
139,139,612198,46185,-12622,39725,4330,2061,-10238,1370,-4730,2007,classical
140,140,-45728,195832,-82976,41150,19131,6682,4212,3227,-1316,1314,classical
141,141,75260,426804,90327,-3979,-34440,-12658,-17414,-3415,-4534,-443,classical
142,142,-2399518,2489970,-373491,-146278,-119040,-97536,-82198,-3851,-9911,-9727,classical
143,143,3886648,406719,92686,77960,-11838,-33448,-10949,15926,2862,387,classical
144,144,-199776,15879,34049,27093,32688,-3967,6423,4594,1324,-1099,classical
145,145,-4530732,4085616,-632781,225623,-32756,104543,-662,38913,3068,9583,classical
146,146,4067304,802240,-1087229,-13436,-288693,198427,-27744,-17518,-6364,2212,classical
147,147,-931756,-24645,10959,18981,-1975,539,-671,1486,230,457,classical
148,148,-666652,-847776,356634,-363405,522817,353537,101257,-31005,160324,-18087,classical
149,149,85450,719004,-15885,11696,-437287,43205,6831,-113583,31777,71108,classical
150,150,177542,96708,21328,-9133,5336,-268,692,2953,-195,134,classical
151,151,-490432,139347,-347376,-127689,-195168,64663,-35717,-10298,18796,-44102,classical
152,152,-1866680,-368905,35554,50760,-5620,-168917,-175158,66062,77805,79062,classical
153,153,-1991320,749761,311491,-140064,218049,83646,-103362,-6365,3156,-10688,classical
154,154,-6372772,379717,-387797,-640084,-155551,-699,-75917,-28704,8318,-26282,classical
155,155,-222578,-54483,3783,-11555,2327,-2200,1287,-1485,530,-170,classical
156,156,-6162658,974966,7966,-323696,233289,109601,25844,82040,-35527,-4499,classical
157,157,415196,19006,58137,45496,12364,-7735,-5831,-640,14827,-7565,classical
158,158,684878,-169339,-264523,-15084,-45778,1497,-15751,-1535,-7013,-1001,classical
159,159,-64014,-454402,-179680,-122577,-59325,4948,-34126,820,20368,6386,classical
160,160,-2036252,-271683,-600125,-22233,-58603,-114973,63721,-61279,23820,17271,classical
161,161,-1432644,-178646,248407,14231,-18316,-81460,-81,-18535,-3452,-3216,classical
162,162,-1626200,-26549,-365122,9739,-177545,-18710,12688,13187,46419,48168,classical
163,163,-1243288,-113784,10031,-3998,2071,-1711,591,264,195,-62,classical
164,164,-1082590,-60352,22507,-4918,-1906,3226,2892,-175,-104,-161,classical
165,165,-488212,37245,18036,-8405,-2787,-4152,1096,-353,864,-521,classical
166,166,-1425276,86823,14662,4338,8059,7877,1387,-131,-78,986,classical
167,167,-110480,204290,-93183,1140,-7651,-6732,9610,-3966,1379,596,classical
168,168,2650220,-146409,-128419,-62082,-32328,-1959,-15220,6878,-6660,-3821,classical
169,169,-617808,-32227,27095,79493,-1012,19710,926,4307,4237,-165,classical
170,170,-2080602,-217721,-29569,42657,-27157,13541,-6495,2474,-3375,-1551,classical
171,171,-640816,1014773,236141,61908,32906,18389,631,-2798,-714,-8695,classical
172,172,-1137992,179769,-68852,-16147,40562,-8057,-971,-3137,981,1703,classical
173,173,543924,147204,98000,-57282,52987,629,9644,-1899,1429,-5920,classical
174,174,-557908,-659401,51579,-98550,20346,13647,10038,-4178,-1267,323,classical
175,175,12808,-36753,-55547,44536,11932,7409,-2474,2540,-1048,191,classical
176,176,-995714,-196748,132576,8348,-11669,82959,-36020,8256,-7315,12563,classical
177,177,-151374,-141369,23111,7221,5134,-8878,3223,1758,151,208,classical
178,178,92318,8797,3568,1102,-39,993,-221,78,-1,-8,classical
179,179,388188,127463,480,9711,-853,6059,-532,1774,-187,472,classical
180,180,-135022,-26681,4585,4656,4857,45,575,28,27,16,classical
181,181,118998,241787,-80167,-12223,3961,-3702,-5997,-2233,-1239,-311,classical
182,182,-710814,-26140,-180526,255938,73506,-3204,4194,11035,-1556,3346,classical
183,183,-369178,923813,-8752,81186,2206,18754,4242,7617,2176,942,classical
184,184,213896,-88273,106858,-47878,18932,-2456,2291,453,1642,-181,classical
185,185,763504,580586,-133265,-81749,-67633,656,-3384,14532,12750,3302,classical
186,186,584770,-94630,5403,-166820,12340,8800,-7390,2895,11654,28165,classical
187,187,-894412,-145955,43274,-17775,6119,-3626,3254,-3955,233,-1399,classical
188,188,-436202,-120061,21867,-87276,-55174,-7485,-3662,-13331,-4778,96,classical
189,189,-907672,-896301,-211363,187615,30576,10934,56900,22777,-5735,2574,classical
190,190,-1489296,11201,134540,2158,119380,-33751,29568,23967,7099,46,classical
191,191,-907572,-547332,563741,478620,-104656,115115,25712,465,-14696,6859,classical
192,192,-846318,218890,406414,362996,-63453,-87560,1101,-47788,-2197,-6181,classical
193,193,526314,855156,752582,-80308,308380,2225,-5501,18823,18648,-11081,classical
194,194,-1349220,-110887,115435,-6773,6033,-2600,3250,1187,1306,-111,classical
195,195,-1445532,81296,-127057,-91482,57885,28902,3551,-2515,-3653,-911,classical
196,196,-1912640,439744,-728176,-106436,76351,-41547,-70356,36701,5514,8458,classical
197,197,-1057618,416986,-193442,-144,-27727,-43843,46714,7703,107,-2068,classical
198,198,-1029538,60392,-99219,102605,160038,-4653,32754,34893,-3023,1603,classical
199,199,-802846,61323,38767,5835,-11164,-15672,-592,3240,-4211,259,classical
200,200,-2793872,701121,-23449,-1726969,500497,401736,453101,36580,44005,-195759,country
201,201,-733316,2077330,-418234,953885,-8211,-271896,-461,-134691,18297,-61757,country
202,202,-753586,84645,293364,390622,-183997,55761,165742,-23236,50947,-139538,country
203,203,-2748590,1696577,-879111,579825,-230984,82638,159834,362728,226733,-243028,country
204,204,-2620396,-561863,1286433,38516,-522318,-381009,444403,405641,253220,-18549,country
205,205,-1069180,-411005,-1661632,413878,100124,-191543,522363,-318731,-347333,62635,country
206,206,-1622120,-3139212,35521,150568,-554064,213840,-577982,25505,156028,-26188,country
207,207,-6168294,34313,26643,-319290,-19599,-461660,-370092,271309,400038,-123842,country
208,208,-1818206,-661425,-2582773,-108876,517441,206578,32934,-72125,599086,-50587,country
209,209,-184166,422391,-1183479,-954231,-664996,185987,-292762,402941,1121023,71923,country
210,210,-431144,170961,418325,44019,73857,-19334,-49265,-31761,-13734,-21614,country
211,211,905554,-1190705,-724811,343022,-58364,82368,40431,-152860,-96795,154345,country
212,212,-1435416,1487930,-835,34162,-343442,-84567,-84054,-87343,57215,-34024,country
213,213,2342984,476169,153238,-283241,-249938,54367,-13906,43656,231013,-17808,country
214,214,-669208,-626119,-290294,20986,446853,51966,88078,175892,-88654,-266147,country
215,215,-2597148,-763111,514795,120239,98520,46868,54449,91072,45843,6662,country
216,216,217614,316262,50703,-286086,37295,-20325,-20425,-31820,-19321,-6590,country
217,217,-4606008,-634125,162862,215944,-51226,-4436,82686,-2575,-4540,-27807,country
218,218,2495462,136991,-581885,-181461,-1277,-16101,-41292,49674,-60451,19156,country
219,219,1180722,241998,730501,255397,-31708,-1300,-9597,-5598,2420,3634,country
220,220,-1502120,-333774,6856,-141450,-346643,-439139,-320279,423864,-9003,-44370,country
221,221,789980,236717,443244,86251,24718,54171,643,3167,-3300,6001,country
222,222,-1237544,535497,253168,-40913,-133423,126101,27476,38483,-19200,39139,country
223,223,586850,255432,-44096,91934,-26172,-6681,-16005,-20712,-35491,18662,country
224,224,540116,39956,32870,-27594,40606,-44640,5680,107650,5303,9213,country
225,225,-670190,451827,93492,-20731,-68572,-159571,27417,5049,12910,-2987,country
226,226,-1005390,-84249,35332,-175205,167190,-78,63288,-30878,5356,-16491,country
227,227,2083240,-667739,-591525,247793,-32579,-138683,106955,84310,16257,-40852,country
228,228,232772,-86122,128930,204802,-42616,-119565,30357,-9387,6706,27732,country
229,229,-85836,-639945,247602,-320144,31459,-18891,-29164,-30881,-3643,14117,country
230,230,-42410,579691,-18324,-12868,-35993,27737,-10012,-5176,-23395,22348,country
231,231,292122,800075,-335380,-164037,76438,-172941,-32026,-149544,-91310,29307,country
232,232,-750426,638574,-59077,181594,82866,-82976,19710,-1637,26899,8485,country
233,233,613308,406448,632897,-83456,-790151,-224406,-108355,-78012,-59929,-837,country
234,234,-397872,5993,-293929,397595,7994,-69847,70266,58318,73138,76334,country
235,235,-495302,109902,-206877,-10079,75951,14604,59848,71723,-138529,-17897,country
236,236,210234,-131990,189268,-97078,36101,2726,-114,-36629,6452,-3885,country
237,237,-84328,515348,199932,34285,-125240,56948,-11794,-4593,-18710,-447,country
238,238,-2428084,-794405,476810,258595,-330067,-122784,-41168,-46214,3104,-121362,country
239,239,4925752,-360756,59000,454205,10989,-417785,-165881,20621,-328055,-62401,country
240,240,722298,-326729,23711,-200192,-257352,105112,-77687,-94817,-126473,12831,country
241,241,6669500,86505,-831204,-181480,262578,71564,71892,14818,17828,130354,country
242,242,2599118,-63352,203521,-193965,30427,32831,-127818,-111763,-70021,-142386,country
243,243,2430724,179209,905129,646124,-169404,42622,-85615,-85319,-62080,-13439,country
244,244,9280,1022939,85011,37212,-66789,47275,-73643,80652,70876,22414,country
245,245,-1222474,1036653,-46834,398916,119312,-460613,126401,-16599,-118448,99836,country
246,246,1076404,886607,-1044647,-124029,388414,47498,81739,-82454,-30192,-53,country
247,247,857846,-312108,-406364,-263392,-52854,-120788,-20563,-21660,13507,-12201,country
248,248,814328,-457020,-57655,-167654,-185521,5294,-28817,53125,-21436,58228,country
249,249,-1662038,1590752,1115363,-172639,-70156,97762,-63575,-70127,-26998,-4319,country
250,250,4362600,977510,-396472,-413654,37490,61217,-82719,14870,47880,-24209,country
251,251,1617608,616852,479766,-232668,183252,-188329,-12870,-16098,-6453,6038,country
252,252,73964,-1315365,-370673,-130002,5350,-56280,2010,-61,10571,-1043,country
253,253,962852,239658,-602012,99860,61048,57026,-276672,60597,77049,-36025,country
254,254,-4180860,838967,-179026,376669,-183784,9478,-21905,-112345,-41235,-17821,country
255,255,-1427090,1053739,609268,37048,273077,-2111,-195005,-202715,113712,2436,country
256,256,1529440,-1189047,-103525,432698,-19883,33947,76200,106717,-4411,-5418,country
257,257,-2897534,1204124,-798370,-413568,-82704,-38679,-28049,-40953,-12785,-15651,country
258,258,518104,471401,-6913,-272838,58137,-33035,70896,131954,139340,19014,country
259,259,4363982,-248917,-1460434,147860,-65409,107049,-169882,-27723,106739,13193,country
260,260,-8493706,-1063469,57768,154670,-173213,-291282,185632,-102442,-9756,6146,country
261,261,1837078,-1204089,-662231,-122136,114640,-63877,-170301,-38181,33436,-571,country
262,262,-3165522,-2638323,417264,-33679,-341433,-119724,-263044,-91519,-21739,-1123,country
263,263,-6344474,914201,-59787,-332048,207922,105405,-85059,-114541,56689,23876,country
264,264,-1790570,839541,-40054,-2244,72431,-135501,48261,-50349,-802,6496,country
265,265,5281134,-27937,-7404,74699,-88617,892,-39216,3798,-26890,890,country
266,266,9456520,-437270,-960189,116240,-411411,-55445,33836,12449,-71327,-13131,country
267,267,302506,-2287,-100587,-43296,46015,-22071,38858,8882,2830,-5836,country
268,268,-1187800,373121,334554,-39512,34421,-46635,30069,-47661,1366,-4857,country
269,269,3819518,-679353,-425990,-313171,-38596,-37812,-17759,-42941,2123,-331,country
270,270,4032584,566555,206783,502257,-149576,201526,-82209,43633,31510,20571,country
271,271,2836468,-306424,804512,14725,83944,-115406,-74063,-59104,6851,9039,country
272,272,-2103884,1004789,567169,-201636,-120388,-177323,41890,-73644,21407,-15647,country
273,273,1318130,-641225,37019,-329356,216850,31804,40347,-37028,4642,5142,country
274,274,4637590,-288226,-502274,-176746,-295586,-134824,-100320,-35573,82130,-10168,country
275,275,12308,771984,679337,-586207,424570,409893,192751,-20906,-41546,-1567,country
276,276,-4873318,1716937,-80510,274427,150410,-222565,111531,-17855,39670,-4281,country
277,277,796174,89155,923684,-16782,-380279,-3148,-87083,17179,923,-3225,country
278,278,-873550,-261552,149613,-118373,121251,63157,-12560,-96124,29488,439,country
279,279,-8767024,28053,515166,100405,-143322,69692,-1394,15074,8043,7716,country
280,280,-1768974,-840211,-1266279,580039,-49750,-4546,-48617,120024,134256,-1306,country
281,281,-216220,746745,-68686,-1194373,482539,-65733,122161,-292427,24746,50000,country
282,282,767570,-94213,-72048,-190290,259424,-280189,461660,-87685,125289,-14906,country
283,283,1226044,-344736,-118096,-276115,-91811,-35819,-11179,-17058,40525,-8131,country
284,284,8174368,-1879864,242270,623469,-394385,160216,149989,153950,-108228,-21347,country
285,285,-764318,973083,-333944,-10102,-58223,-114054,112769,-52080,36603,12821,country
286,286,-1526620,211378,-18336,-70581,293004,163391,63718,-91772,55073,-2026,country
287,287,1053356,-14966,-105116,142267,43855,-86790,-135620,-40516,-47432,10483,country
288,288,2336358,-1491773,123395,602138,-276291,204636,51467,-59568,-49507,146,country
289,289,-1709310,228685,172799,-190352,281841,66293,81961,131967,-9552,-4730,country
290,290,1259470,923904,-438263,-205122,-151028,302493,-69488,52088,-29524,38575,country
291,291,182064,-642026,-476452,95269,-133291,21535,20871,-25380,-12649,2748,country
292,292,6150170,1304212,-108125,-159143,-652918,-286804,-281633,-87066,-130105,35240,country
293,293,636140,-629550,99595,253811,184888,5114,11125,1713,14829,5846,country
294,294,3654604,-422118,-392303,23622,104091,-53864,87435,79163,-5018,8369,country
295,295,-2499582,-2097333,66374,267292,-335236,115750,-239268,-114486,-18628,-20210,country
296,296,1422338,311463,39722,356097,-120547,-147780,72624,220674,-104657,-16189,country
297,297,-3819888,180768,-674846,-495961,24714,-389723,2452,268855,53961,-20407,country
298,298,5954232,385040,-202209,-469186,-7200,133676,165247,55503,-66276,5526,country
299,299,-106652,1036250,972040,-123400,-534198,165132,-235064,90992,86736,-18133,country
300,300,-793842,187764,241758,-19507,121487,147823,-116243,-5171,237779,59638,disco
301,301,824242,-535851,1485164,206719,150958,157687,-20241,103769,13573,5839,disco
302,302,-8176070,-393417,-514313,172135,-77479,-3544,-153687,39438,315796,73583,disco
303,303,1349552,-854469,-69645,-103012,-903178,-126852,-280954,339190,-413286,-42445,disco
304,304,2314626,735229,517420,250866,-421980,277661,-126115,-4247,8713,247331,disco
305,305,-7726906,-1509803,-974172,626057,238292,460171,-345417,-337466,94067,-138510,disco
306,306,-1438796,-444928,326713,1071146,471151,97963,416313,-114854,27521,-235000,disco
307,307,-3771026,-156458,416970,-699157,625056,834207,59873,-61922,79024,157059,disco
308,308,-724798,-782062,543028,389402,141503,264021,106422,8461,-4989,-23968,disco
309,309,403266,-315420,837679,-95325,67568,148013,-438625,135320,-27465,-18120,disco
310,310,-4315834,498440,1226068,971576,-122773,130894,-21078,101293,-186924,170666,disco
311,311,9615678,789846,-525242,372583,-620849,37244,-165376,91254,187030,-97234,disco
312,312,-809978,-2140757,470739,-369001,-570775,310962,17551,332675,-21559,31065,disco
313,313,-656958,96924,68320,492797,595765,29046,147762,-110154,42728,-56735,disco
314,314,2863842,251228,268320,-517105,-633458,-236429,-118204,-52895,86414,-103685,disco
315,315,-97060,-90131,-479128,343054,478704,239250,196432,183001,58427,36083,disco
316,316,3916756,-428843,1091039,-159580,-355973,-407383,-104258,-129034,9775,41223,disco
317,317,-3001950,-409149,-14334,-54854,715574,62499,-178157,-174176,-197634,97155,disco
318,318,4127528,-1266103,-641927,121471,-169654,224978,146388,228386,68246,-79329,disco
319,319,-580958,-510365,-520639,299497,-268983,67794,226909,-54074,-195453,-10912,disco
320,320,-938860,-635710,-306397,243879,-167702,80195,280640,14536,-93095,28783,disco
321,321,1689906,682153,-149864,-81527,-77817,115505,214495,102594,92566,-73954,disco
322,322,-220948,-785151,-266721,-228618,101861,-14427,-186141,199567,412456,297482,disco
323,323,-4599354,-1199652,-200434,665240,172602,6560,142466,395518,127115,-177333,disco
324,324,-1550034,1199133,161104,-53150,191886,-261918,-163339,-129882,153792,70337,disco
325,325,-3636154,-796070,139331,268776,176723,179515,-83950,151753,-14096,-57931,disco
326,326,3385064,-903016,-243251,-336378,-434383,139237,-286280,315044,102995,-42673,disco
327,327,2552642,511484,2112,-194388,-93470,-46191,-135013,91698,-108408,-21768,disco
328,328,-1278172,1874198,1006139,-274569,161685,583354,368528,667137,933553,787363,disco
