,feat0,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,genre
63,58104,-43365,-24005,27397,-70793,7576,-52478,7567,-9187,22306,-35451,2271,-31675,blues
64,59806,-35592,-38425,44322,-76690,-26144,-47369,-1351,-19170,16420,-24832,7393,-37919,blues
65,58840,-40981,-39146,20245,-70421,4629,-55572,9205,-17683,13604,-38098,11468,-39108,blues
66,57791,-27655,-36683,29123,-52200,17007,-46319,19689,-21712,16342,-34333,31130,-16875,blues
67,58898,-22054,-43312,23536,-68433,-806,-33484,12267,-23129,20648,-29120,12174,-29172,blues
68,58091,-35094,-31921,28422,-79792,-19455,-32154,18098,-12049,27591,-29255,5498,-28700,blues
69,58487,-23508,-43787,28952,-86069,13984,-63237,49,-37107,14303,-44361,16033,-40439,blues
70,56592,-14291,-45115,13468,-66251,8201,-65239,28766,-20517,7107,-22019,18448,-19008,blues
71,59396,-31373,-37795,38423,-75686,-14676,-37277,8157,-23280,30261,-22651,12453,-33198,blues
72,58158,-33942,-1060,28518,-86988,-3180,-59432,3499,-10962,-14533,-29383,5919,-51875,blues
73,61990,-19123,-44506,31004,-39153,67,-58192,12818,-42806,7598,-26610,29544,-9960,blues
74,61054,-32327,-23187,4722,-27314,26778,-72020,23783,-39321,20296,-24956,16593,-1605,blues
75,58832,-28624,-37097,28723,-7237,32106,-48131,23447,-40641,14606,-12120,16751,-11119,blues
76,62510,-40866,-45200,26727,-11199,30030,-31796,27863,-37310,47079,1348,-423,-19243,blues
77,61897,-21913,-51049,3224,-15170,37955,-50633,29779,-26052,22176,-27187,8376,-21210,blues
78,63198,-27092,-53973,7907,-30149,33802,-51142,27239,-34177,21540,-31928,17800,-27999,blues
79,63735,-33305,-44431,16001,-15892,38384,-39010,29718,-10250,16083,-40869,17964,-37337,blues
80,60624,-5479,-62756,8979,-39979,20875,-38002,23089,-25118,23091,-34772,16879,-13227,blues
81,62890,-17522,-75319,7849,-44469,22530,-32967,13606,-26997,16640,-38407,37668,-21804,blues
82,62235,-16057,-51408,3370,-43603,9933,-59896,31289,-32635,19580,-9734,4901,-16714,blues
83,62467,-28443,-53316,24117,-30026,33948,-42801,44891,-14209,19049,-24089,30482,-16277,blues
84,61422,-15868,-60373,21,-18519,18517,-48446,27857,-21208,25151,-32369,26918,-21536,blues
85,54603,14297,-26726,20034,-7728,27755,-43841,6114,-50722,-1304,-14760,20787,9515,blues
86,51317,21219,-7855,22513,-7186,25476,-41559,19780,-38878,16428,-6480,6005,-14286,blues
87,54636,6714,-12692,33842,-25900,26676,-54098,17116,-43472,-4697,-19430,19635,-14044,blues
88,51434,28189,-18436,27916,7509,19427,-36312,29965,-47228,-70,-22920,17815,-14603,blues
89,42892,42546,-1051,25390,-1476,22582,-14335,34846,-37225,21705,-3889,5575,-12286,blues
90,53775,224,-6005,44172,-10859,29192,-55103,32152,-53424,5094,-12623,26599,-12886,blues
91,49433,37521,-19603,12671,-2918,37062,-15319,33292,-19438,30746,-26975,13252,-14066,blues
92,44849,27152,6302,42906,9603,38106,-33876,16429,-45667,17524,-12183,16083,-3743,blues
93,44533,66990,1998,491,-3058,35531,-19946,27922,-17489,10673,-23388,15056,-21728,blues
94,52124,13364,-16033,37510,-3783,29646,-21782,31574,-26399,18348,-17461,15397,-7060,blues
95,56333,13764,-18055,13575,-36173,14196,-49811,66991,-39874,-1990,-10162,25024,-16231,blues
96,46702,26904,-6465,9679,-52722,4638,-32475,10030,-47558,12155,-56420,5478,-29505,blues
97,55226,22013,-26833,37562,2538,9069,-31381,31872,-39128,13315,-25602,-1170,-1095,blues
98,58620,-28633,-46466,34092,-40489,29233,-19640,18642,-31256,25054,-33127,12241,-22521,blues
99,52929,7818,-53208,17873,-55952,18495,-4441,-1760,-33910,11553,-33536,21106,-25373,blues
100,49871,9486,-78481,-14557,-47975,20750,-26429,7310,-47484,17508,-12189,21818,-681,classical
101,48158,18095,-73750,-17937,-61809,27801,-17647,-9,-53913,1125,-23396,12943,9015,classical
102,50725,9735,-71192,-7402,-51945,23645,-26365,1204,-57741,9168,-18290,31574,5367,classical
103,48398,10516,-94556,8598,-49885,27895,-4868,-16894,-37205,19135,2865,6007,7942,classical
104,51804,-289,-85934,-5786,-51571,6066,-33483,-2051,-38988,12245,-46420,-787,-15519,classical
105,48259,17465,-71762,12044,-42928,-13799,-53717,3841,-35084,17274,-29185,9007,-7218,classical
106,47292,15377,-64553,16219,-45164,-9078,-60107,8021,-37606,24441,-30251,15852,3783,classical
107,47317,17574,-66731,13995,-43511,684,-37759,8418,-32242,15812,-21423,8998,-12068,classical
108,47305,10475,-70554,10234,-46328,-12037,-58376,13447,-26963,28337,-27718,13643,2193,classical
109,43309,18970,-42967,31197,-50191,-12970,-37054,14228,-41393,23377,-33562,4404,-6319,classical
110,46557,11169,-75441,-656,-53060,-3434,-41229,1477,-32993,29944,-6856,18308,-274,classical
111,43796,55295,-59336,-12631,-36660,-22149,-49730,-16941,-29833,27603,9556,19589,-18286,classical
112,44862,34576,-69779,-3225,-47689,-21136,-51483,-8828,-40462,25284,-6585,28663,6770,classical
113,45964,23057,-76064,1349,-43101,-10640,-49581,-747,-33093,27526,-11971,11448,-17460,classical
114,45900,31323,-76259,-133,-49009,-24151,-63534,-11101,-39033,19524,-20329,13011,-5458,classical
115,40499,14101,-72283,-6825,-51453,-4349,-28637,37199,-17366,41371,-9960,14562,-2064,classical
116,36216,33892,-30740,4105,-45349,-10358,-47846,9224,-45262,-2122,-52141,-7877,-12709,classical
117,46860,25335,-76462,-27477,-59609,-3869,-47319,8239,-37365,18875,-9465,23576,-4037,classical
118,42652,37751,-64431,-8475,-38257,-15424,-51165,8071,-16407,37492,947,14421,-9620,classical
119,36475,22210,-51061,7875,-38410,-5633,-28834,25712,-27579,21119,-37415,9024,-235,classical
120,47451,34255,-72141,-3095,-39952,-9646,-47809,-314,-36610,21355,-27422,4082,-7606,classical
121,47994,24299,-76629,-7260,-53370,-20644,-56459,739,-36726,16460,-35587,9192,1257,classical
122,48069,32488,-69799,-7801,-37814,-9612,-44044,-1726,-42349,15995,-9246,29590,-12620,classical
123,40808,32705,-36523,13675,-21395,-10167,-47781,6565,-46154,14394,-46157,-7657,-16850,classical
124,51705,31450,-71916,-5646,-47572,-9231,-40279,3630,-47823,6457,-20051,17159,-7253,classical
125,51187,35937,-69648,-7522,-40399,-11440,-45301,-208,-52575,1862,-21135,29025,-3472,classical
126,47114,33815,-83534,-24188,-46136,-7270,-38900,-2653,-40401,14147,-15700,6479,-7495,classical
127,44381,51410,-40644,-12529,-50681,-16082,-47738,-3908,-41379,17982,-29628,2375,-10614,classical
128,51824,29194,-76060,-10347,-44908,-691,-41828,-8647,-49859,14153,-12348,14454,-8264,classical
129,47823,10390,-79589,251,-46224,-7802,-48623,15101,-40408,21179,-19698,19749,-2172,classical
130,45515,31240,-69803,9964,-43832,-24647,-59618,275,-39850,3430,-45969,-18899,-25709,classical
131,41465,52635,-30071,10781,-31135,-2448,-48660,578,-30219,2285,-36930,-18745,-24405,classical
132,35009,53903,-16223,1462,-45760,-7281,-46760,-291,-32552,-4126,-47905,-21038,-26899,classical
133,37475,34941,-58882,10692,-35761,-11604,-40519,-2508,-33418,4420,-42342,-4474,-3124,classical
134,47849,19308,-71144,21864,-37197,-10914,-47093,-2997,-52751,4064,-50108,-9905,-11088,classical
135,45785,47383,-54848,14793,-20751,-5338,-47631,-10085,-29719,3221,-35177,-13239,-11148,classical
136,40374,26873,-46007,7752,-56100,-3492,-65820,-27216,-55408,2237,-34166,-5746,-20548,classical
137,48971,15264,-89765,11393,-40935,-11041,-58470,-11643,-37223,16244,-31583,-13552,-14126,classical
138,48370,30182,-82761,4261,-38631,-10088,-60880,-22157,-50556,3681,-30876,-4899,-12955,classical
139,41964,-1447,-68009,-9059,-37811,11988,-42676,2065,-40489,57648,-6811,-13906,-9661,classical
140,43887,18617,-73612,-3453,-54609,-12997,-64638,-5064,-39370,10435,-37041,-6504,-20541,classical
141,43093,24046,-82746,-1183,-41734,-16271,-63174,-4194,-42003,-549,-38813,-2593,2421,classical
142,58137,33149,-92974,-44085,-28345,-25197,-27606,-23211,-22161,1460,1507,-10215,-15150,classical
143,52609,42891,-12576,-61583,-36123,-37765,-47054,-31873,-31079,-24406,-11753,1361,1431,classical
144,43867,31838,-63973,-22059,-32835,-31314,-31057,-52627,-31535,2683,-543,4076,12713,classical
145,55784,32841,-52580,-39438,-33750,-33492,-33506,-26429,-22850,-16533,-14060,-3878,-7936,classical
146,57965,-9837,-62372,-13845,-30612,-6907,-34425,-12892,-21056,-8474,-5963,272,2800,classical
147,39237,33084,-59466,-27403,-23643,-32246,-32714,-22468,-35602,-25547,-5171,1874,-6916,classical
148,57822,16614,-56408,-16771,-20490,-15324,-23575,-23355,-21315,16809,-3958,-10531,404,classical
149,57231,-19505,-54934,-16036,-20690,-11150,-22347,-19684,-22933,-1622,4009,7594,536,classical
150,36456,26901,-45546,15123,-17049,-29699,-31008,-28450,-13568,-1453,-14129,7527,10622,classical
151,49097,-464,-14604,3881,-3160,2832,-7405,-11123,-16658,1478,-5413,809,-668,classical
152,52121,-30978,-41868,-12032,-15681,-4690,-10197,-5508,-19676,-11761,-14444,7954,2380,classical
153,57804,18942,-81013,-8872,-24961,2063,-12054,-5464,-22333,5260,5469,1758,-600,classical
154,60643,6141,-74959,-6951,1209,-36736,-57555,22855,7015,-7487,-3201,39415,4669,classical
155,39314,45397,-38840,-40172,-33248,-30155,-29809,-40907,-51264,-30998,-1061,2399,2724,classical
156,59924,6679,-74344,-949,-4880,-34919,-19498,11202,-27975,-3624,6812,15829,-15438,classical
157,43967,789,-56254,-27987,-23817,-10133,-14499,7635,-22390,-35167,-20343,2270,10716,classical
158,47464,37448,-61706,-38655,-16749,-9442,10292,-26084,-30210,5289,14129,-12602,-11348,classical
159,52871,11141,-76893,-2460,-27260,-20924,-31309,-21626,-19358,-6791,66,-3373,151,classical
160,53835,-2006,-69202,-12804,-27338,-21165,-32733,-17903,-16931,-5998,-7140,-5050,-1008,classical
161,49270,27131,-61759,-16449,-9503,-6810,-15634,-25749,-15011,-4798,1320,-5755,-4294,classical
162,45488,16883,-46218,-15295,-7185,-10837,-20602,-10285,-9358,-9495,-6518,-19698,-5882,classical
163,40058,55803,36562,-37849,-33060,-43572,-41960,-37326,-24822,-15122,-3395,2674,7205,classical
164,36689,29810,26007,-36031,-39123,-41575,-31626,-27688,-16924,-8987,4108,6216,-1525,classical
165,43035,54853,1303,-54299,-44740,-38931,-33233,-40141,-28020,-21531,-14531,-6583,-2756,classical
166,43334,56656,2353,-46558,-36996,-49360,-43467,-38511,-24439,-9063,729,4739,9204,classical
167,40508,35543,8285,-29264,-40178,-40404,-35502,-34077,-15595,-7844,-2331,476,-1031,classical
168,52022,15097,-85950,-25298,-34603,-21161,-17746,-27940,-34457,403,2288,2731,7780,classical
169,47394,25519,-80769,-24934,-32864,-22073,-12282,-21588,-23836,-2798,-4506,9892,17726,classical
170,45486,20696,-63362,-9863,-27109,-34404,-19550,-15801,-18345,-2238,-3404,-5456,5272,classical
171,49159,19884,-71245,-6928,-34651,-39615,-28956,-20018,-11057,-2977,-14138,-6226,11711,classical
172,42929,18452,-54469,2623,-8602,-33753,-23192,-3303,6695,2349,-4910,375,5137,classical
173,48444,36953,-73421,-25475,-38457,-40699,-24664,-26918,-18540,8990,15633,12324,11976,classical
174,46936,21894,-66640,-7426,-31599,-36811,-25212,-20926,-17540,-3741,-8359,-652,12404,classical
175,41863,33935,-64935,-722,-23956,-49500,-23884,-16506,-5840,3515,-6492,5898,21293,classical
176,50083,24474,-69764,-6012,-25654,-34074,-24977,-26347,-21131,-948,-1659,874,8528,classical
177,38279,65837,-38864,-22260,-44876,-46934,-50123,-31551,-5621,-15820,-2512,-4775,-15199,classical
178,33836,67787,-12610,-11607,-43987,-45295,-39438,-37390,-15625,-24737,-2970,-4041,-3695,classical
179,40985,67853,-43014,-29782,-41423,-39113,-40277,-21990,-9408,-24813,-18152,-20817,-8095,classical
180,29761,27098,-8230,10656,-7746,-24493,-11051,-20666,1658,12890,18589,12900,13667,classical
181,42239,31811,-54359,-20793,-8651,-29857,-22300,-17592,-20610,-17235,-12628,-7016,-3800,classical
182,50305,20266,-85815,-20433,-47051,-43470,-30131,-39504,-28458,-10957,2706,-6719,-1031,classical
183,46696,68035,-57694,-35714,-36630,-41993,-44167,-43049,-24319,-23711,-8484,-1835,10093,classical
184,43164,54316,-69941,-24727,-30943,-34689,-45257,-33763,-26692,-17770,-128,-9310,1577,classical
185,49459,18050,-79286,-21470,-40401,-27652,-22218,-24391,-22429,-16688,2715,-1424,-2344,classical
186,47004,26528,-65648,-13585,-41432,-26278,-32895,-23608,-20209,-5263,8890,-1347,-3694,classical
187,42569,59778,-49606,-26936,-27525,-45057,-45941,-42363,-25737,-25178,5118,-8794,-6043,classical
188,46035,28043,-74101,-14722,-32985,-29108,-31117,-35752,-29854,-16257,6302,-36,10562,classical
189,52635,-41795,-104270,-811,-34677,25487,-15860,78813,15121,25913,-51795,-18056,-13267,classical
190,49894,-23300,-92878,7187,-55609,-6980,-45567,23947,-29490,50006,-7436,17477,-15094,classical
191,53425,-24801,-82624,15363,-31099,16503,-26371,44872,-29998,3196,-50755,7047,-22967,classical
192,55613,-107,-88270,21996,6054,13487,-47797,-46550,-13781,60725,-38124,-16128,13013,classical
193,54786,4757,-83861,-21271,-16377,29869,-30091,-1650,-50622,14981,-4804,12512,-37245,classical
194,40765,5387,-62469,19284,-26725,13098,-35747,35028,-20157,35806,-11595,13824,3619,classical
195,43263,-10926,-84900,24288,-31285,-15417,-47867,38407,-11365,39036,-4693,19479,-3731,classical
196,53078,-6809,-86406,17344,-33429,2572,-46410,27522,-23676,31559,-19197,13542,-8245,classical
197,48703,7181,-61140,-5460,-38107,-516,-68618,13575,-51967,22175,-11690,28265,-17109,classical
198,48623,-13707,-78777,14663,-41601,8693,-46866,26355,-30546,18020,-33707,5414,-28165,classical
199,41841,-2417,-53334,11089,-55078,18893,-32683,33680,-25384,30389,-3753,48020,-32331,classical
200,62719,-38416,-18729,-220,11449,-10149,-1140,5262,1786,19132,-93,7075,-3964,country
201,63083,-47072,-26703,3306,3900,994,5652,19886,8354,20724,-2945,6741,10484,country
202,57291,-25564,-7831,15459,14386,-3792,-9067,-3164,-26257,-1060,-20095,-3940,-14062,country
203,60732,-17594,-37994,15790,5741,-31387,-18636,9292,-15397,24551,838,-953,7221,country
204,62365,-45344,-20109,5516,-1775,-11976,7064,16907,6459,21282,-4230,14526,1002,country
205,63005,-47282,-35534,-534,8423,-3174,-10115,26096,9470,23531,83,7657,-3458,country
206,63193,-40179,-19426,-6972,14893,-3094,-30857,35594,-218,-6403,4451,2648,-2052,country
207,62756,-44151,-13096,1816,4331,9544,-11703,13142,4386,27268,9750,10968,14954,country
208,63226,-33775,-29559,6484,-4822,16636,-11192,-1386,8179,28044,-4097,19164,12841,country
209,64635,-52175,-23004,-2707,519,-15949,-6867,11148,-3135,23185,584,-3789,-1719,country
210,51988,-3519,-23204,19850,-20110,-31618,-30099,-11376,-24887,-10497,-4369,-5507,8294,country
211,54093,-32397,-18213,-6609,1419,-28616,6651,5515,-21057,25089,-12065,9011,13314,country
212,54753,3932,-21567,4157,-24310,-22178,-46784,-15673,-15964,-10339,-7583,7186,-997,country
213,56207,-35330,-29657,-14175,377,-22713,3054,-8232,-13066,5198,-7281,-8023,-10745,country
214,56395,-35647,-5063,-15097,-4501,-11897,4574,-19409,-6763,-1171,-17047,359,-10730,country
215,55857,-11054,-29945,11228,-38728,-11192,-50271,10310,-21040,-5843,-25102,-11998,-4618,country
216,51780,20214,-34432,41717,-43595,-41522,-59755,-26254,-17418,-22514,20485,-10680,-19674,country
217,52808,8040,-20819,541,-19327,-38604,-28162,-13389,-21493,-10496,-13281,2263,-1280,country
218,55632,-13302,-38162,-15690,17903,-6015,-14303,-11274,-21205,-3516,-30556,-3626,-21663,country
219,49643,39430,-43367,-1046,14297,-33456,-9279,-9599,-33227,-2957,-9190,-7514,-1520,country
220,54953,-26631,6719,29587,-20638,14889,-22099,6541,-33277,-285,-4107,5980,-12575,country
221,51960,39762,-38888,12153,-2421,-19422,-34008,-27637,-19216,-7877,-10328,423,-10270,country
222,52222,-1370,-24942,16765,-2031,-50782,-25428,-4402,-38813,-11577,-6314,-7137,-3836,country
223,43216,5356,30480,3749,16038,-6034,-15960,1578,-2195,-6490,-10141,-1769,-7114,country
224,54005,3769,-38977,20172,-20539,-27034,-44524,-16411,-25752,-4098,-29094,14198,5849,country
225,50911,4899,-18127,8776,-5619,2378,-21481,-22211,-23932,-11485,-17670,-1705,-17119,country
226,52513,26685,-30964,-4053,-4458,-20499,-12235,-2131,-27677,-3873,-4021,4482,9348,country
227,57072,-8134,-52857,6383,-2543,-33008,-667,-14142,-13529,-1298,-7407,-2700,-15797,country
228,52962,10568,-38241,4777,-5289,-35851,-22903,-17287,-20235,3407,-6679,-25379,2580,country
229,53495,30339,-40118,-681,-10256,-46520,-36269,-7263,-20596,-12581,5295,1732,-20545,country
230,49394,16624,19371,1209,-23878,-32331,-46697,-39696,-28497,-6788,-7440,3281,2071,country
231,55790,-9239,-48848,3914,-16927,-36613,-15439,-7653,-10579,18941,-44,4394,4779,country
232,49995,-9359,-20209,28781,-20132,1013,1919,6574,-18482,1363,-15112,1551,-951,country
233,56905,-28014,-38981,13766,-35107,-15283,-6412,-14311,-10476,2003,-16435,2873,1271,country
234,54333,-26538,-32414,-17730,5685,-10548,-7901,4514,3321,-5597,-96,-6481,-10937,country
235,56095,-19346,-28721,-8149,19917,-47600,-2714,4944,-55328,13003,4109,-14929,-6196,country
236,44534,-6624,-32773,37913,-4815,-59,-12794,-5260,-21649,-2985,-13413,-803,-14166,country
237,52602,-10354,-18092,-6110,24010,-15704,-26749,-16566,-25092,7666,375,-13563,-6103,country
238,56550,-36458,-13387,-15593,-9231,51,1035,13530,-2601,-5412,11217,-8901,-9301,country
239,59916,-65403,-17021,15297,-1858,-19658,-14078,6918,3301,-3633,526,8758,-2217,country
240,56982,-26287,-29237,3752,-15556,-31295,-74,5241,-15661,-11055,-15912,-3619,-4831,country
241,56669,-29080,-4091,10307,25773,-33172,2738,3295,-25170,-1734,4479,1852,-479,country
242,56588,-26639,-9262,8084,1475,-2121,-16296,-33268,-13792,1607,-19114,-4015,7006,country
243,57147,-27859,-51696,-14385,-318,-4049,-19128,-6853,-8518,-1697,-2729,-14169,3261,country
244,54454,3977,-29996,-20577,19573,-14656,-6348,-7992,-11148,22,20514,7270,2960,country
245,60125,-35170,-41010,-13712,-5464,-31940,-19898,-3293,-3179,17094,-6661,2815,-2305,country
246,57452,-9964,-63019,49186,-19563,-37647,-25937,-5990,-10458,-11923,24403,-24485,-14918,country
247,55326,2146,-69963,22046,-19323,-19383,17743,-25478,-11759,3327,-38328,13788,-24635,country
248,54306,-7246,-4813,994,1449,-49796,4725,-24149,-44869,8475,-10740,-2558,5384,country
249,56891,11145,-49810,-13060,-29466,-31295,-27508,-918,-4657,-8090,11473,-8272,-2170,country
250,54991,-3050,-34466,17065,-38005,9267,-33036,24191,-38182,24992,-20083,8093,-15917,country
251,52391,6207,-32880,28933,-13989,15025,-51512,24566,-53860,23058,-27486,238,-22804,country
252,48041,17858,-11128,30255,-31690,9998,-12684,38560,-48952,27639,-5154,9826,-9974,country
253,58424,-24438,-33627,23658,-39958,3970,-52344,16855,-47864,23537,-31057,12753,-29698,country
254,53507,-5571,-12728,42407,-23659,13896,-48700,20934,-55723,7957,-21053,5393,-31525,country
255,57842,-6692,-36143,4513,-35929,7621,-46697,21943,-44997,28145,-23940,13419,-14923,country
256,54133,441,-15338,25456,-29324,9768,-29975,28800,-37039,40727,-20170,1707,-23597,country
257,55811,-1494,-33089,22684,-30140,561,-21881,12225,-54010,23127,-42454,15794,-12322,country
258,57132,-5628,-17327,21976,-50578,-103,-38700,28581,-39142,13507,-11181,14198,-32378,country
259,54468,1512,9281,34003,-35208,-1755,-53659,26298,-34978,6546,-13783,7100,-22152,country
260,53089,6241,-3029,28012,-14537,14733,-38967,36102,-35209,25606,-18909,17402,-16778,country
261,52283,9368,-7770,23626,-31335,8138,-51188,21236,-34182,14736,-16870,17281,-21298,country
262,57787,-19296,-29971,7905,-45144,10755,-47213,29812,-31921,24506,-12898,8947,-26523,country
263,53906,2360,-9685,25611,-35337,6642,-49009,32349,-41440,7435,-11586,16173,-10517,country
264,52060,9163,-32263,6274,-34831,3163,-59766,29049,-33665,472,-18974,19400,-24773,country
265,50716,51783,-30095,20859,-28277,-4211,-14117,-4900,-37628,2319,-41051,16146,-25697,country
266,58147,4723,-76211,-5361,-31811,31485,-21621,25786,-35723,20061,-16007,9170,-18141,country
267,45669,47682,-3635,16586,-18978,1085,-19502,16319,-68762,-1137,-29075,9715,-18178,country
268,50232,34400,-40818,7997,-27631,17017,-16666,28885,-29899,5804,-31284,2568,-22085,country
269,52035,12376,-52577,42980,-13464,3825,-37957,30700,-27266,22694,-26712,18585,-9070,country
270,57773,-4080,-56624,16037,-45066,31392,-31932,14844,-36981,21733,-26079,20934,-15039,country
271,53806,36470,-54202,-900,-32483,-19388,-27415,-3584,-56219,6515,-40323,8644,-36598,country
