,data,rate,genre,DCT,NRG
12,[ 6076  8183  5136 ... -1196  -478   276],22050,blues,"[23520.         61483.01738976   400.09574161 -3996.78521854
   878.92773064 -4488.71384697 -3679.93864046 -5248.51070597
 -4186.07226936 -1554.15698591]",164866009
13,[-4543 -6873 -5837 ... -3117 -3357 -3160],22050,blues,"[-106552.           -5293.29883691    1319.90535116    3365.76112632
    2891.82451204    2935.90735549    3189.42234017    3139.39872011
    3062.82451204    1009.73419271]",161164125
14,[2525 3798 3026 ... 2334 2072 1547],22050,blues,"[63150.         -3498.83141695  4834.61092516 -2707.15524528
 -1281.90819071 -2190.61680812 -1604.30739023 -1944.08702007
 -1756.90819071  -642.79300877]",401382192
15,[ -988 -1485 -1322 ...  2020  2579  2640],22050,blues,"[-33012.           4218.53998628    255.86808722    866.9247266
    247.95624129    370.52395334    636.55048656    775.99760862
    688.95624129    266.34867   ]",288167321
16,[ -964  -679   139 ... -2458 -3041 -3359],22050,blues,"[ 16474.         -15816.71824654   1074.54511709  -3801.84981436
   -459.4326691     236.17366492   -403.12875279    646.97538816
    678.5673309     311.5714134 ]",298130304
17,[ 807 1181  977 ... 2848 3116 3114],22050,blues,"[ 1.84660000e+04  1.47937824e+03 -1.32152909e+03 -1.13875508e+01
 -3.99921799e+02 -2.81428499e+02 -5.88056860e+02 -6.63674890e+02
 -5.07921799e+02 -1.96351656e+02]",186282303
18,[-3287 -5080 -4254 ...   541   897   824],22050,blues,"[-75724.          -5879.67760833   2345.25167137   1934.15538142
   2174.66472525   2440.93260866   2240.67056882   2643.93607733
   2346.66472525    751.89374357]",303016779
19,[3324 5510 4675 ... 1136 1064 1020],22050,blues,"[60974.         14255.22996919  3591.97973665 -6033.4881178
 -4925.32679799 -2272.64119473 -3000.54437919 -2670.38014383
 -2232.32679799  -700.10109649]",215227950
20,[-1191 -1757 -1361 ... -3429 -5049 -5625],22050,blues,"[-26562.          -2360.8844451    1533.91062445    437.01370991
    750.43029662   -516.18795027   1061.04109072   1598.89622931
    716.43029662    265.62097453]",317552788
21,[ 1544  2459  2159 ... -3020 -3100 -2896],22050,blues,"[43012.           197.97854787 -2461.72733797  -754.25814382
 -1238.82423201  -675.99408281 -1316.39603217 -1289.06291264
 -1144.82423201  -353.30999748]",218143722
22,[-2401 -3624 -3347 ...   972  1075   998],22050,blues,"[-56106.         -11404.83960891  12271.76236873   1836.9923023
  -2217.67257584   2394.2635611     989.0694442    2151.68623368
   1390.32742416    721.13183822]",130509740
23,[5631 6793 2696 ...   89 -676 -449],22050,blues,"[-37850.          70089.5050378   16274.05809481    809.97557909
  -3473.50403226  -2100.10714012  -4223.56462323  -4288.42683971
  -4028.50403226  -1415.13192252]",209509519
24,[ -17   22  -48 ... -929 -949 -872],22050,blues,"[-278.         -622.43752672  715.80913442  306.85949458  126.66563146
 -671.75144213   45.46738488  -53.06005305  -19.33436854   34.83398756]",257505619
25,[-1094 -1645 -1025 ...  -370  -246  -279],22050,blues,"[ -2080.         -18165.52198433   8288.67667892  -1154.63122392
  -2305.58935027   2384.36406616    543.56592277   1658.18803561
    769.41064973    363.45317722]",209098772
26,[  1170   1829   1577 ... -12549 -13455 -12825],22050,blues,"[32148.          -815.76121298  -517.46162976  -657.51989709
  -817.25498173  -916.41038842  -808.73880934  -895.8329688
  -826.25498173  -279.52910463]",383781532
27,[ -662 -1191  -887 ...   380   583  1512],22050,blues,"[  3138.         -13489.90372059   2117.74741709    965.97116017
    895.75653454    623.66818101   1022.31642724    652.82261965
    586.75653454    100.73705527]",243480286
28,[ -7827 -13610 -10360 ...   -183   -111   -531],22050,blues,"[  76038.         -151957.27646789  -28033.73761139   43334.62796524
    2426.84269266   17424.525302      3869.04710955    8310.52230656
    3802.84269266    2180.43907702]",239455001
29,[-547 -906 -718 ... 4052 4401 4136],22050,blues,"[-13398.            423.88614446  -2301.24381144   2169.14066698
    521.62497837   -470.93311627    856.79747917    832.32525505
    200.62497837    215.72198122]",208700243
30,[1809 2861 2329 ...  756 1032  589],22050,blues,"[42896.          2574.98288009 -1142.96609394  -659.79880588
 -1845.99836065  -497.80317396 -2033.86295214 -1663.44702914
 -1203.99836065  -372.08155594]",39329315
31,[-116   65 -611 ... -938 -608 -187],22050,blues,"[-21996.           5896.47968609   5892.96375526   1112.93836571
  -1793.25232922   1040.86118191  -2729.80918366  -1816.60258798
   2034.74767078   -427.01117437]",41106408
32,[-3292 -4951 -4917 ...  7594  8605  8373],22050,blues,"[-1.21926000e+05  1.49190257e+04  7.49480949e+03  2.21343594e+03
  1.15016938e+03  1.62210296e+03  1.05502129e+02  2.30148434e+03
  2.88816938e+03  8.34946223e+02]",257370029
33,[ -274  -341  -538 ... -3081 -3743 -5454],22050,blues,"[-12360.           1569.3921419    1776.15686968    273.27576603
    261.34131292    -76.36753237   -211.34515436   -426.58036446
    351.34131292     58.1880855 ]",84559165
34,[ 446  921 1152 ... 1185 1107 1324],22050,blues,"[26416.         -3328.53020372 -3634.52946613 -1538.03715586
   102.16718427   644.88138444 -2306.72182108   562.36973553
  -155.83281573  -149.32069743]",106047464
35,[-1074 -1598 -1345 ... -4004 -4951 -5898],22050,blues,"[-54962.          17675.79571041  -3722.71046297   1611.01135509
   1330.08423874   -507.70266889  -1317.64441672   1294.73265604
   2896.08423874   -239.04762527]",30303874
36,[-5596 -9082 -8523 ...  2142  2350  2255],22050,blues,"[-182214.           12104.48166468    6792.69222322    6268.35611737
    3591.98740445    3500.17856687    3916.84852408    4800.89983134
    3473.98740445    1341.36349465]",37770545
37,[   57   128   123 ... -2686 -4605 -5753],22050,blues,"[ 4.91800000e+03 -1.92532515e+03  4.01364966e+02 -1.67794333e+02
 -1.33262379e+01 -7.49533188e+01 -2.19843499e+02 -4.95997452e+01
 -2.32623792e+00 -2.14475753e+01]",410496494
38,[ -357  -345  -180 ... -3462 -3413  -795],22050,blues,"[ 8210.         -8110.23660582  1451.74355012 -3590.10238931
  2993.0885306   -207.88939367  -243.60965637   -47.4610914
    68.0885306    145.34949837]",64909343
39,[-346 -532 -398 ... 2213 2514 2561],22050,blues,"[  9716.         -11219.19264445   1458.22282782     21.96173379
   1248.93687443     90.50966799    196.75158052    169.37290927
    255.93687443     67.78574015]",222602643
40,[-3214 -2770 -1969 ... -2587 -3928 -1458],22050,blues,"[-3.60560000e+04 -1.25768848e+04 -1.03721124e+01  1.63097404e+03
 -9.35918414e+02 -2.00252640e+03 -6.12066315e+03  3.41191454e+03
  3.27708159e+03  4.84913162e+02]",74737396
41,[-1010 -1160 -1008 ...   184   109   -78],22050,blues,"[-12630.          -4956.05327269  -1478.02506034   3140.28860725
   -850.44390534   1206.3241687   -2014.87640341    571.02316304
   1514.55609466     62.51374826]",48948069
42,[1216 2440 2619 ... 1522  830  540],22050,blues,"[ 5.74160000e+04 -1.06640257e+04  8.14259564e+02 -7.64570559e+02
 -5.34729473e+03  1.13137085e+01 -2.24896229e+03 -9.08884149e+02
 -9.52947286e+01 -1.68786358e+02]",84026273
43,[-3618 -5322 -3746 ...  5177  2668  2723],22050,blues,"[-9.03100000e+04  4.82596354e+03 -3.19207064e+03  2.51411893e+03
 -1.13763932e+03 -1.55563492e+01  5.98150357e+03  4.13139267e+03
  1.18236068e+03  1.14260426e+03]",88161565
44,[ 3683  4838  3777 ... -3649 -3478 -2385],22050,blues,"[37262.         29771.81363098 -5342.934882   -5131.68425894
  4535.18683116  -643.46717088 -7857.57544327  1057.10378721
 -1585.81316884  -881.03426248]",71960454
45,[ -623 -1326 -1837 ...  -971   364   266],22050,blues,"[-34460.           7007.06336402  -2364.66501363   3779.72400215
   3154.64270588    285.6711396     546.84949786   -353.19603121
     49.64270588    190.457459  ]",55235486
46,[  540   999   619 ... -3983 -4242 -3140],22050,blues,"[ 4336.          4055.48800826  1300.40114393  2055.2457526
 -3074.12489183  -786.30274068  -692.01290802  -397.95212645
  -537.12489183  -288.48572977]",128437668
47,[-3541 -4940 -5678 ... -3369 -3184 -2551],22050,blues,"[-1.11494000e+05  4.99554065e+03  6.61701821e+03  5.27808855e+03
  6.81907904e+03 -3.12116933e+03  4.14125949e+01 -8.48218273e+01
  2.98607904e+03  1.20599837e+03]",88030519
48,[ 6962 10447  5698 ... -1178 -1372  -851],22050,blues,"[-11034.          84489.68560829  11143.69345196   4656.16466502
  -8079.87458896 -11883.63656462  -6287.64035618  -5443.02329958
  -5642.87458896  -1336.46765218]",107669628
49,[-1630 -2817 -2823 ... -3876 -4028 -3743],22050,blues,"[-68410.          11173.37355183   1074.1292762    2105.47255284
   1616.99644128   1554.22070505    882.02681253   1551.8756233
    911.99644128    381.39067942]",146809481
50,[2180 3059 1478 ... 2647 2004 1373],22050,blues,"[ 3000.         20962.29493387  1157.9273889   9297.90393683
 -8864.46292606   147.07821049 -1639.63689945 -2707.85698693
 -1459.46292606  -500.95112068]",48775046
51,[ -6999 -11706 -10299 ...  -1883   -612   -335],22050,blues,"[-241348.           26562.14397989    7898.46632188   -3153.1391218
    7706.2194606     7209.66074098    7086.96266126    6022.32391731
    4100.2194606     1580.66046491]",29727409
52,[  559  1126  1099 ... -1193  -553   -92],22050,blues,"[25810.         -5546.48888026  1514.02376339  -764.03289908
 -1398.07464184 -1268.54956545  -255.0628234   -722.98749204
  -223.07464184  -133.02599996]",208820150
53,[ -6500 -12631  -9239 ...  -4984  -2869   1346],22050,blues,"[ -4930.         -63495.1984709  -76138.24737365  59098.10473951
  -9067.23278929  26795.10436628   9360.18092074   3666.05559207
   2962.76721071   1536.20823288]",76909183
54,[-4643 -7303 -6439 ... -4778 -4583 -2841],22050,blues,"[-1.18984000e+05  2.24546973e+02  2.49072665e+03 -3.34783520e+03
  4.03623279e+03  9.05379523e+03  5.05912352e+03 -1.18002430e+02
  2.06823279e+03  1.45576974e+03]",69168461
55,[ 157 1828 3974 ...  -69 -214   34],22050,blues,"[ 8.23340000e+04 -3.55141026e+04  1.83987665e+04 -1.11389587e+04
 -2.53627071e+04  1.11821866e+04  2.71227161e+03 -2.40024275e+03
  3.02929415e+01  2.83654647e+01]",85497422
56,[ -5370  -9486  -8714 ...   6074 -10687 -10583],22050,blues,"[-146606.           -5119.4554153     1735.69828492    7000.14794332
    7751.19241623    5341.48462508    6595.52586711    4163.44019058
    2539.19241623    1100.05581765]",56109425
57,[  262    74   470 ...   318 -5194 -5240],22050,blues,"[ 11340.           2246.16759563 -11118.8507525    6745.18788753
  -3594.19880054   2893.48094862   -702.37308016   1506.00957305
   -274.19880054   -180.48451512]",69174016
58,[ 4104  6038  3192 ... -3546 -5656 -5966],22050,blues,"[ 2728.         45696.13503933  5418.65885819  -728.82368957
  -906.80678453 -5088.34039742 -4195.32611111 -4838.34349916
 -2565.80678453 -1116.06571531]",40068852
59,[ 193  251   40 ... 2256 1344  508],22050,blues,"[-16426.          11791.70812534  -1082.26182672    186.20597901
    293.02749748  -1118.64292784   -613.67282686   1280.66475183
   -983.97250252    -18.23769413]",48554831
60,[  5555   9606   4955 ... -22550 -25956 -26140],22050,blues,"[ 34558.          10999.2494822   64778.71902022   3804.37681916
 -30228.99009782  -6291.836139    -8996.86206962  -4903.35640005
  -3197.99009782  -1172.87333516]",41071589
61,[-5459 -7610 -7339 ... -2180 -2255 -2265],22050,blues,"[-178042.            5583.88759245   25883.23876104    4006.66526128
    -937.69358204   -6388.00266124    3166.25350199    6090.02637846
    3728.30641796    1451.60034056]",60000019
62,[2059 2891 2649 ... 7415 9786 6790],22050,blues,"[38822.          8196.27528699  -569.35233815 -4880.56834914
 -1121.09666122   388.90872965  -333.47850762 -1250.16379502
 -1817.09666122  -442.26066401]",144827878
63,[-4529 -7403 -6032 ...   545   676  -318],22050,blues,"[-1.20968000e+05 -4.85175958e+03  6.06665016e+03  6.09136179e+03
  5.00288436e+03 -9.70150504e+02 -9.48011487e+02  9.39162592e+03
  5.54688436e+03  4.39437886e+01]",178214694
64,[ -789 -1746 -2238 ... -2087 -3322   269],22050,blues,"[ 1.36000000e+02 -2.17830439e+04  3.21401235e+03  9.73119019e+03
  3.02976421e+03 -3.26966176e+03  2.58307368e+03  8.60129231e+00
  5.36764212e+02  1.53393709e+01]",94272178
65,[ 2090  2896  1619 ... -5769 -4724 -4923],22050,blues,"[ 57740.         -10758.57545317   -897.74869895  13425.26129116
  -4739.6047053   -4695.18902708    869.89210454  -3089.17857377
   -964.6047053    -693.05787783]",130304972
66,[2587 4469 4370 ... -424 -171  243],22050,blues,"[80330.          -245.62538422 -5430.97947966 -1223.44982825
 -4779.87210951 -1656.04408154 -2360.26945317 -1922.36796889
 -1279.87210951  -662.00308199]",97706188
67,[-1521 -3967 -4387 ... -6724 -6545 -6325],22050,blues,"[-7.49120000e+04  5.04283960e+03  2.33947477e+03  5.38765162e+03
  8.21673033e+03  3.08298557e+02  4.48722941e+03  6.60626076e+01
  2.46273033e+03 -3.46332984e+02]",99443833
68,[  726  -831 -1678 ...  1373  2103  2533],22050,blues,"[-52626.          40802.93831453 -24788.50477752   6621.05604498
  11460.96831763   1950.20050251   1863.38291682  -1270.41346495
   -256.03168237   -909.23010166]",159751332
69,[1986 2764 2066 ...  635  621  903],22050,blues,"[44932.          1099.56737246 -1892.26899869  1745.23442852
 -1273.06532498  -650.53823869  -961.82276776 -1998.98177332
 -1314.06532498  -501.9763469 ]",93572581
70,[-1252 -2045 -2073 ...  1272   822   197],22050,blues,"[-42732.           2171.13710127   3421.17619761    919.38580423
   1145.1880174    1057.83174466    508.2946241     696.81034219
    961.1880174     268.92522656]",125152944
71,[ -820 -5094 -7456 ...  -290  -411 -1802],22050,blues,"[-23000.         -32811.59300448  -7750.9055781   29387.77329163
  14846.95781452   4403.86103323   3269.13485793    859.0586089
  -1833.04218548    152.94369757]",82476853
72,[1373 3702 5015 ...  807  517  423],22050,blues,"[ 89968.         -12176.14031813  -3795.55030004  -7858.53181203
  -6376.30240613  -2678.52048713  -3360.44013782   1761.34551726
  -1150.30240613   -207.11031203]",91858420
73,[-4493 -7745 -7310 ...  9758 12547 15916],22050,blues,"[-123992.            5006.33330338  -11954.15190828    7450.42478969
   15147.83302966    -486.48946546    4953.465671      1721.8520896
    3603.83302966     858.0038987 ]",-32379988
74,[-4295 -3683  -760 ...  2946  3923  3509],22050,blues,"[-44082.          -7055.77016719    622.77432022 -17421.23408398
  -3411.27892048    275.77164466   3181.78521369   2786.15902724
    -70.27892048   2821.91924297]",53896297
75,[-17187 -26752 -19091 ...  -1125   -899  -1071],22050,blues,"[-416536.           -6325.07454665   22828.832523    -18594.92142393
  -11874.41979352   36339.63169874   18477.8199644    16192.55229654
    8598.58020648    3471.95727813]",117015382
76,[ -8165 -10782  -5087 ... -10010  -7076  -5435],22050,blues,"[-114368.          -17958.2180079     3355.97381622  -45688.60122707
   22210.13735517    5560.68772725    4560.8140441     9954.04791323
    4589.13735517    1725.45821024]",-7460103
77,[-2518 -4526 -3897 ... -1578 -4344 -1445],22050,blues,"[ 17242.         -26978.80585304 -44748.57032418  26668.57045849
  11480.24074684   1475.02474556   -615.15765646   3408.97636049
    279.24074684    250.19316183]",-5294848
78,[ 5051  5740  2395 ... -8294 -8261 -4279],22050,blues,"[96582.         -7257.0453784  -4630.13931334 29559.90260232
 -9341.6516766   1446.74047431 -6242.03451922 -1638.42342831
 -4452.6516766  -1435.35054482]",12314508
79,[-7765 -9728 -2654 ... 16065 18226 19758],22050,blues,"[-166218.           50325.14967001  -50060.88708216  -17027.73472945
    9500.0801608    -3019.34595567   12667.43737098    2187.45788792
   14589.0801608      244.02594793]",-8509097
80,[ 7779 11836 10049 ...  5736   365 -6039],22050,blues,"[ 1.51036000e+05  3.08945821e+04 -5.14892665e+03 -9.91345606e+03
 -7.19877556e+03 -3.11126984e+01 -6.51271827e+03 -6.44886685e+03
 -5.27177556e+03 -1.79973242e+03]",-17258138
81,[-4473 -7654 -7175 ...  5261  1195  -557],22050,blues,"[-169882.            3992.07744665   34448.04434579    1088.13282025
  -15240.49527546   12273.95950784    5925.57049998    5795.25894077
    -369.49527546    1198.87715588]",-760908
82,[ 8490 15990 16713 ... 18410 23114 17773],22050,blues,"[ 2.97256000e+05  7.58551946e+03 -3.91183470e+04 -1.40056712e+04
 -2.69854382e+02 -1.93238141e+04 -4.21708636e+03 -8.46495870e+03
 -3.30785438e+03 -1.98788596e+03]",-48506445
83,[ -802 -1775 -2648 ... -3585 -1089 -3658],22050,blues,"[-5.47120000e+04  5.56807460e+03  1.09649143e+04  7.06090160e+02
  2.34028321e+03  9.13581961e+02 -7.35866869e+01  6.42642272e+02
 -2.37167877e+01 -8.99280621e+00]",-43703641
84,[ -111  4953  6174 ... -1705 -3766 -4395],22050,blues,"[172766.         -48335.66265046 -17729.46036865 -10776.11366302
  -4473.30020672   1576.84812205 -15836.19383048  -4197.12593039
   1038.69979328    687.91306652]",40623804
85,[ -685   333  1430 ... -3203 -3148 -2741],22050,blues,"[-28372.          20566.57203011  -4440.92669257  -2284.47614576
  -5759.849357    -3917.37156777  -1559.11997973   1944.72069961
   2381.150643       59.03448323]",71548710
86,[-1839 -4474 -5628 ...    70    32   290],22050,blues,"[-99242.           1094.02873916  19268.25003738   4994.79371914
   2449.4066379    3873.53094734   3670.22689993    491.29702832
    750.4066379     268.49962964]",126442896
87,[11965 19343 17169 ...  -336  -465  -212],22050,blues,"[283772.          31946.50365284 -19504.55185248  -7239.16799587
 -12896.97034397  -7322.79782597 -10837.40845561  -8583.6403126
  -8177.97034397  -2449.28194995]",76091046
88,[  -98   159   277 ... -2228 -3012 -3237],22050,blues,"[-3740.          4465.55619588 -2093.55360417  -445.67400344
  -979.57427527   -84.85281374  -500.03330535   -59.74900537
    40.42572473   183.11908809]",77427544
89,[ 7575 11645 10005 ...   585   686   607],22050,blues,"[205786.          -5363.08002668  -3306.75815946  -3827.35943392
  -5029.7922696   -5030.35764136  -5474.0844417   -5783.14908167
  -4987.7922696   -1791.49409438]",544917792
90,[1036 1682 1604 ... 1966 1940 1683],22050,blues,"[35544.         -3193.52430133 -1105.47069879 -1442.58053834
  -553.71706769  -619.42554032  -656.93190981  -869.75465897
  -700.71706769  -240.25561473]",84331411
91,[ 1471  2433  2275 ...  -424 -1956 -2705],22050,blues,"[39364.          3380.54844268 -4506.61805812  -645.68221869
 -1442.88809072  -721.24891681 -1754.81015448  -965.99875377
  -799.88809072  -352.01293565]",109817861
92,[ 3232  4971  4222 ... -2016 -2110 -2095],22050,blues,"[73852.          6817.46152779 -3468.0975294  -1496.10510606
 -2441.00411879 -2005.35483145 -2393.12442772 -2469.92939858
 -2172.00411879  -742.56891579]",351352488
93,[1403 2227 1992 ... -814 -960 -985],22050,blues,"[40572.         -1396.64771577 -1025.52234636 -1005.47907783
  -994.23872049 -1122.88556852 -1020.22003368 -1052.97951891
  -895.23872049  -336.34671818]",291668560
94,[-5360 -6022 -4882 ... 12135 12751 12412],22050,blues,"[-95386.          -4215.31163231  -8183.64097035   2856.15846387
   4316.22347243  -2035.05331625  -2376.53959959   3708.38841969
   2754.22347243   1943.21125987]",98745109
95,[  130     4   546 ... -1049  -947 -1091],22050,blues,"[ 4890.           395.38631869  2139.25157488 -7600.97444181
  2446.47981347  -756.60425587  3556.48741027  -471.16443012
  -353.52018653   -58.14872105]",-17085529
96,[  -5  153  337 ... -323 -313 -560],22050,blues,"[10028.         -3701.14503736  -370.03900887  -823.92011134
  -374.52475842    76.36753237  -149.83701783   -20.78814428
    61.47524158    32.81639293]",437973171
97,[ 2279  3720  3439 ... -4101 -5241 -5335],22050,blues,"[67802.           485.11224029 -6422.42714125  -570.89673048
 -1520.16554492 -1803.12229203 -1976.75734863 -1685.89572811
 -1476.16554492  -543.91049943]",33262852
98,[5617 7768 3361 ...  911 2095 2053],22050,blues,"[ 81944.           9694.53069018  11886.1191633    3593.72596031
   2775.3587604    2305.16810667 -16369.70483044  -4177.68521467
  -3251.6412396   -1505.92651429]",154233025
99,[-109 -372 -262 ...  283  624  980],22050,blues,"[ 1.18260000e+04 -9.27199202e+03 -5.74884907e+02  1.28380062e+03
  1.47604833e+03 -2.39002092e+02  6.40962045e+02  3.48659866e+02
 -6.95166939e+00 -2.07493214e+00]",247010697
100,[-658 -573  137 ...  634  910 1026],22050,classical,"[ 7018.         -6338.86235959 -3801.35952204  -427.24919399
  -418.10643118  -329.51176003   200.4265057    861.76410324
   652.89356882   180.71176712]",546127688
101,[ -373   -71   553 ...  -968 -1240 -1286],22050,classical,"[-4420.          3886.51171902  -424.10934484 -6103.6081157
   553.44153286  -647.70981157   316.19023327   321.54330164
   468.44153286   106.84817764]",607671107
102,[-1326 -2561 -2863 ... -2148 -1412  -965],22050,classical,"[-50950.          -2353.06753531  10474.8965143    1164.83529806
   1368.73406206    926.30988335   2220.67737743    279.71215811
   1003.73406206    218.84471959]",401243418
103,[ -273  -740 -1431 ...   152  -103  -210],22050,classical,"[-18220.          -5670.64462551  10523.80146943   2647.17115465
   -267.15905365   -319.6122651      19.17373098    -49.51692018
    197.84094635     36.2006044 ]",832144453
104,[ -353  -656  -795 ... -3446 -3623 -3008],22050,classical,"[-6972.         -5341.41816119  3839.88174138  1004.47194311
   621.97752752  -158.39191899   107.27633572   299.06930592
   267.97752752    76.01113804]",455211734
105,[ -806 -1457 -1451 ...   -36   -30   -50],22050,classical,"[-28738.            429.8696686    3575.63677617   -215.32831195
   2455.51306908   -776.40324574   1011.19812347   1039.6220138
    509.51306908     91.43223999]",742299357
106,[-498 -808 -477 ...  -85 -165 -201],22050,classical,"[-11308.           1144.50253508  -1793.02704677   -745.80040059
    846.21048988    506.28845533    910.65581288    459.52221651
    370.21048988     79.79374798]",665595955
107,[-2258 -3319 -2477 ...  5577  5957  5371],22050,classical,"[-50444.           1052.56392451  -3089.72996576  -2098.75560317
   4146.69487524   1120.0571414    1583.92510513   1666.33180834
   1568.69487524    587.47289937]",704849436
108,[ 504  684  367 ... 1986 2075 1211],22050,classical,"[-2364.          6642.19154746  1245.24577322  -579.98211928
  -262.54293904  -350.72496347  -347.57440105  -481.7209024
  -325.54293904  -140.31806874]",777127590
109,[  477   685   470 ... -1085 -1135 -1143],22050,classical,"[9240.         1092.16848872 -409.39377187  350.48980127  -15.99689438
 -342.23968209 -481.71229957 -441.27599793 -305.99689438 -119.38335354]",1024532544
110,[ 435  940 1097 ... 1295 1949 2070],22050,classical,"[12728.          3646.82135849 -3055.79898193  -782.75710118
 -1334.04019999  -820.24386618  -295.6223639   -198.87398526
  -258.04019999   -58.77446541]",961025656
111,[ 540 1080 1327 ...  -29   -3   63],22050,classical,"[16354.          3942.3216876  -3157.86752082 -2643.24565238
  -804.8498101   -258.80108191  -466.4790681   -167.27837917
  -366.8498101    -93.92590988]",878381837
112,[-1094 -1325  -767 ...  -177    32   132],22050,classical,"[-9176.         -6468.14748314 -1290.45701615   404.21936951
  -305.26859045   200.81832586   548.32535003   872.47600792
   792.73140955   289.29647987]",1056423290
113,[-170 -237  -81 ...  412  -27 -365],22050,classical,"[ 1816.         -3123.22748627   601.8847966   -567.43598404
  -240.81655449   480.83261121   251.06710582   271.11592065
   -58.81655449    78.50242427]",1066026743
114,[ -880 -2069 -1910 ...  1085  1156  1007],22050,classical,"[-20716.          -5899.16359532  -1129.80423256   4323.72327115
   2496.04595813   1015.40533778   1717.47704383   1430.38069974
    659.04595813     42.76685633]",843898062
115,[ 37  86 112 ... 433 409 349],22050,classical,"[ 2.87600000e+03 -5.36524926e+02 -4.84084813e+02  1.53182572e+02
 -1.97803399e+02  1.69705627e+01 -1.09917668e+02  1.44090231e+01
 -2.58033989e+01 -6.95608359e-01]",2004441216
116,[ -66 -100  -85 ... -127 -415 -633],22050,classical,"[-1434.          -149.3274775     33.16846521    39.75549287
    58.1934955     38.18376618    44.1571389     50.26248231
    40.1934955     14.36969457]",2078891005
117,[ -774 -1185  -970 ...   -66  -180  -277],22050,classical,"[-11974.          -5271.24943152   1883.62555877   -217.11890566
    954.79097639    349.31074991    656.8140942     557.55799128
    556.79097639    157.76532523]",1008797051
118,[247 375 339 ... 252 303 237],22050,classical,"[ 1.83180000e+04 -8.01829319e+03  1.78882610e+03 -3.07656362e+01
  1.19586799e-01 -3.29511760e+02 -9.57402639e+01 -2.07962345e+02
 -1.58880413e+02 -6.77599435e+01]",1369800738
119,[ -19  -57  -85 ... -147  -89  -95],22050,classical,"[-656.         -547.24316148  499.88177001  146.92317482   52.63118961
   -2.82842712   46.07836816   -6.86654167   25.63118961   -1.83126253]",2315139923
120,[-1700 -2181 -1345 ...  2646  2178  1370],22050,classical,"[-10850.         -14476.64067925   1100.96130279   -794.45655329
    423.07464184    470.93311627   1174.61875081   1280.69722501
   1198.07464184    427.34066834]",664165190
121,[  635   184  -905 ... -3831 -4491 -4507],22050,classical,"[  8826.         -10617.77534786   7808.80967634   5990.58159433
    -23.36762415   1373.20136906  -1840.16071001     84.24876266
   -741.36762415   -126.84230386]",810420266
