,_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight,draft_pick_int,draft_round_int,draft_team_id,position_id,lifetime_profit,seasons_played,mean_season_profit,nind
18,adamsha01,"June 20, 1984","Inglewood, California",0.2,53.4,0.0,64.3,73,11.8,2.5,1.2,0.8,53.4,University of Arizona,54th overall,2nd round,New Jersey Nets,2006,6-4,"Westchester in Los Angeles, California",Hassan Adams,Shooting Guard,Right,220lb,5,2,16,4,739973,2,369986.5,10
20,adamsjo01,"July 8, 1994","Atlanta, Georgia",0.6,40.2,38.5,60.7,32,13.1,3.2,0.9,0.4,45.7,"University of California, Los Angeles",22nd overall,1st round,Memphis Grizzlies,2014,6-5,"Oak Hill Academy in Mouth of Wilson, Virginia",Jordan Adams,Shooting Guard,Right,209lb,22,1,17,4,4392427,3,1464142.3333333333,11
21,adamsmi01,"January 19, 1963","Hartford, Connecticut",6.4,41.5,33.2,84.9,653,16.6,14.7,2.9,46.9,47.5,Boston College,66th overall,3rd round,Sacramento Kings,1985,5-10,"Hartford Public in Hartford, Connecticut",Michael Adams,Point Guard,Right,162lb,6,3,4,3,6892288,8,861536.0,12
22,adamsst01,"July 20, 1993","Rotorua, New Zealand",1.0,58.8,0.0,55.3,467,16.7,9.7,7.4,38.7,58.8,University of Pittsburgh,12th overall,1st round,Oklahoma City Thunder,2013,7-0,"Notre Dame Preparatory School in Fitchburg, Massachusetts",Steven Adams,Center,Right,265lb,12,1,9,2,33530919,5,6706183.8,13
23,addisra01,"July 22, 1964","Jersey City, New Jersey",0.9,44.9,28.2,77.2,379,10.5,5.8,2.1,4.9,46.6,Syracuse University,39th overall,2nd round,Phoenix Suns,1986,6-7,"Snyder in Jersey City, New Jersey",Rafael Addison,Small Forward,Right,215lb,39,2,14,9,1806461,5,361292.2,14
24,adebaba01,"July 18, 1997","Newark, New Jersey",1.9,55.0,13.6,72.8,151,17.0,8.0,6.5,11.0,55.1,University of Kentucky,14th overall,1st round,Miami Heat,2017,6-10,"High Point Christian Academy in High Point, North Carolina",Bam Adebayo,Center,Right,255lb,14,1,18,2,2595929,1,2595929.0,15
27,adrieje01,"February 10, 1986","Brookline, Massachusetts",0.7,47.4,0.0,62.8,153,15.0,4.6,4.3,4.4,47.4,University of Connecticut,,,,,6-7,"Brewster Academy in Wolfeboro, New Hampshire",Jeff Adrien,Power Forward,Right,245lb,0,0,-1,0,3454907,5,690981.4,16
28,afflaar01,"October 15, 1985","Los Angeles, California",1.8,45.0,38.6,82.5,762,11.9,10.8,2.9,33.5,51.4,"University of California, Los Angeles",27th overall,1st round,Detroit Pistons,2007,6-5,"Centennial in Compton, California",Arron Afflalo,Shooting Guard and Small Forward,Right,210lb,27,1,10,12,61346973,12,5112247.75,17
29,agerma01,"February 9, 1984","Detroit, Michigan",0.2,33.9,25.0,56.6,82,2.8,2.1,0.6,-0.9,36.8,Michigan State University,28th overall,1st round,Dallas Mavericks,2006,6-5,"Crocket in Detroit, Michigan",Maurice Ager,Shooting Guard,Right,202lb,28,1,12,4,3134078,4,783519.5,18
30,aguirma01,"December 10, 1959","Chicago, Illinois",3.1,48.4,31.2,74.1,923,19.0,20.0,5.0,67.8,49.8,DePaul University,1st overall,1st round,Dallas Mavericks,1981,6-6,"George Westinghouse in Chicago, Illinois",Mark Aguirre,Small Forward,Right,232lb,1,1,12,9,8523255,9,947028.3333333334,19
31,ahearbl01,"May 27, 1984","St. Louis, Missouri",1.2,27.3,29.8,97.0,19,7.2,4.6,1.2,-0.2,36.4,Missouri State University,,,,,6-2,"De Smet Jesuit in Creve Coeur, Missouri",Blake Ahearn,Point Guard,Right,190lb,0,0,-1,3,130884,1,130884.0,20
32,aingeda01,"March 17, 1959","Eugene, Oregon",4.0,46.9,37.8,84.6,1042,14.7,11.5,2.7,71.5,51.9,Brigham Young University,31st overall,2nd round,Boston Celtics,1981,6-4,"Eugene in North Eugene, Oregon",Danny Ainge,Shooting Guard and Point Guard,Right,175lb,31,2,19,13,9173039,9,1019226.5555555555,21
34,ajincal01,"May 6, 1988","Saint-Etienne, France",0.5,50.3,28.6,79.7,293,14.9,5.3,3.9,7.5,50.7,,20th overall,1st round,Charlotte Bobcats,2008,7-2,,Alexis Ajinca,Power Forward and Center,Right,248lb,20,1,20,1,19762821,7,2823260.1428571427,22
39,alarima01,"December 11, 1963","Phoenix, Arizona",1.1,47.5,25.2,77.5,325,13.0,7.5,3.4,8.4,48.3,Duke University,18th overall,1st round,Denver Nuggets,1986,6-8,"Brophy College Preparatory in Phoenix, Arizona",Mark Alarie,Power Forward,Right,217lb,18,1,3,0,1597462,4,399365.5,23
41,aldemfu01,"August 9, 1991","Konak, Turkey",0.7,51.3,0.0,48.1,41,12.0,2.3,4.3,1.4,51.3,,53rd overall,2nd round,Los Angeles Clippers,2012,6-10,,Furkan Aldemir,Power Forward,Right,240lb,5,2,21,0,6254346,2,3127173.0,24
43,aldrila01,"July 19, 1985","Dallas, Texas",2.0,49.1,28.3,81.0,950,20.9,19.6,8.4,107.0,49.5,University of Texas at Austin,2nd overall,1st round,Chicago Bulls,2006,6-11,"Seagoville in Seagoville, Texas",LaMarcus Aldridge,Power Forward and Center,Right,260lb,2,1,23,1,153876676,12,12823056.333333334,25
46,alexaco01,"June 22, 1973","Waynesboro, Virginia",2.7,38.9,35.4,75.6,307,12.4,5.5,1.6,3.0,46.8,University of Virginia,29th overall,1st round,San Antonio Spurs,1995,6-1,"Oak Hill Academy in Mouth of Wilson, Virginia",Cory Alexander,Shooting Guard and Point Guard,Right,185lb,29,1,24,13,12676681,8,1584585.125,26
47,alexaco02,"April 27, 1977","Bridgeport, Connecticut",1.2,42.2,33.9,81.3,187,11.5,9.0,2.2,4.1,43.5,"University of Virginia, California State University, Fresno",13th overall,1st round,Orlando Magic,2000,6-5,"Jordan in Durham, North Carolina",Courtney Alexander,Point Guard and Shooting Guard,Right,205lb,13,1,25,14,6777941,5,1355588.2,27
49,alexajo01,"December 26, 1986","Kaohsiung, Taiwan",0.7,41.0,34.0,69.8,67,9.9,4.2,1.8,0.5,44.2,West Virginia University,8th overall,1st round,Milwaukee Bucks,2008,6-8,"Hargrave Military Academy in Chatham, Virginia",Joe Alexander,Small Forward,Right,230lb,8,1,2,9,5292162,3,1764054.0,28
50,alexavi01,"August 31, 1969","Detroit, Michigan",0.9,51.8,28.6,63.4,286,13.7,8.9,4.8,8.8,52.2,Iowa State University,17th overall,1st round,Golden State Warriors,1991,6-9,"Denby in Detroit, Michigan",Victor Alexander,Center,Right,265lb,17,1,26,2,6752452,6,1125408.6666666667,29
51,alforst01,"November 23, 1964","Franklin, Indiana",1.0,45.9,32.4,87.0,169,14.4,4.4,0.9,3.2,48.7,Indiana University,26th overall,2nd round,Dallas Mavericks,1987,6-2,"Chrysler in New Castle, Indiana",Steve Alford,Point Guard,Right,183lb,26,2,12,3,521194,3,173731.33333333334,30
56,allenja01,"April 21, 1998","Austin, Texas",1.0,59.0,18.3,73.2,152,18.1,9.6,7.0,11.9,59.5,University of Texas at Austin,22nd overall,1st round,Brooklyn Nets,2017,6-11,"St. Stephen's Episcopal School in Austin, Texas",Jarrett Allen,Center,Right,237lb,22,1,29,2,1786366,1,1786366.0,31
57,allenje01,"January 28, 1973","Philadelphia, Pennsylvania",1.7,35.0,31.7,63.0,117,8.5,2.9,1.1,0.2,41.1,University of Pennsylvania,49th overall,2nd round,Minnesota Timberwolves,1995,6-4,"Episcopal Academy in Merion Station, Pennsylvania",Jerome Allen,Shooting Guard,Right,184lb,49,2,30,4,1034571,4,258642.75,32
59,allenla01,"February 4, 1989","Morrisville, Pennsylvania",1.0,47.1,13.3,68.2,388,12.5,4.8,4.8,13.8,47.2,Temple University,50th overall,2nd round,Philadelphia 76ers,2011,6-9,"Pennsbury in Fairless Hills, Pennsylvania",Lavoy Allen,Power Forward and Center,Right,260lb,5,2,31,1,15825338,6,2637556.3333333335,33
61,allenma01,"June 27, 1978","Willingboro, New Jersey",0.5,43.9,18.8,77.8,478,9.9,4.9,2.8,6.6,44.0,Villanova University,,,,,6-10,"Shawnee in Medford, New Jersey",Malik Allen,Power Forward,Right,255lb,0,0,-1,0,13141556,10,1314155.6,34
63,allenra02,"July 20, 1975","Merced, California",3.4,45.2,40.0,89.4,1300,18.6,18.9,4.1,145.1,53.0,University of Connecticut,5th overall,1st round,Minnesota Timberwolves,1996,6-5,"Hillcrest in Dalzell, South Carolina",Ray Allen,Shooting Guard,Right,205lb,5,1,30,4,192171510,18,10676195.0,35
64,allento01,"January 11, 1982","Chicago, Illinois",1.3,47.5,28.2,70.9,820,14.2,8.1,3.5,38.7,48.7,"Butler County Community College, Oklahoma State University",25th overall,1st round,Boston Celtics,2004,6-4,"Crane Technical Preparatory in Chicago, Illinois",Tony Allen,Shooting Guard and Small Forward and Point Guard,Right,213lb,25,1,19,15,42423670,14,3030262.1428571427,36
69,almonmo01,"February 2, 1985","Dalton, Georgia",0.3,38.1,29.2,74.3,38,7.0,3.1,1.2,0.0,41.2,Rice University,25th overall,1st round,Utah Jazz,2007,6-6,"McEachern in Powder Springs, Georgia",Morris Almond,Shooting Guard,Right,225lb,25,1,28,4,2175886,2,1087943.0,37
70,alstode01,"August 20, 1972","Bronx, New York",0.7,48.9,14.3,48.7,139,11.7,5.4,3.8,2.6,49.0,Duquesne University,33rd overall,2nd round,Philadelphia 76ers,1994,6-11,"Hoboken in Hoboken, New Jersey",Derrick Alston,Center,Right,225lb,33,2,31,2,521194,2,260597.0,38
71,alstora01,"July 24, 1976","New York, New York",4.8,38.3,35.4,72.9,671,13.2,10.1,2.8,32.9,46.1,"California State University, Fresno",39th overall,2nd round,Milwaukee Bucks,1998,6-2,"Benjamin Cardozo in Bayside, New York",Rafer Alston,Point Guard,Right,171lb,39,2,2,3,29321973,12,2443497.75,39
73,amaecjo01,"November 26, 1970","Boston, Massachusetts",0.8,40.3,7.7,67.1,294,8.9,6.2,2.6,0.5,40.3,"Vanderbilt University, Pennsylvania State University",,,,,6-10,"Saint John's in Toledo, Ohio",John Amaechi,Power Forward and Center,Right,270lb,0,0,-1,1,9967864,7,1423980.5714285714,40
74,amayaas01,"November 23, 1971","Oak Park, Illinois",0.4,45.5,50.0,63.3,85,11.5,4.5,4.2,1.9,45.7,Southern Illinois University,,,,,6-8,"Walther Lutheran in Melrose Park, Illinois",Ashraf Amaya,Power Forward,Right,230lb,0,0,-1,0,492529,2,246264.5,41
75,aminual01,"September 21, 1990","Atlanta, Georgia",1.2,42.3,33.7,74.7,670,12.4,7.7,6.1,27.4,48.2,Wake Forest University,8th overall,1st round,Los Angeles Clippers,2010,6-9,"Norcross in Norcross, Georgia",Al-Farouq Aminu,Power Forward and Small Forward,Right,220lb,8,1,21,10,36950437,8,4618804.625,42
76,amundlo01,"December 7, 1982","Ventura, California",0.4,47.4,0.0,44.4,428,12.0,3.7,3.6,6.9,47.4,"University of Nevada, Las Vegas",,,,,6-9,"Monarch in Louisville, Colorado",Lou Amundson,Power Forward,Right,220lb,0,0,-1,0,12367434,12,1030619.5,43
78,anderch01,"July 7, 1978","Long Beach, California",0.5,53.2,22.1,65.4,695,16.7,5.4,5.0,39.7,53.5,Blinn College,,,,,6-10,"Iola in Iola, Texas",Chris Andersen,Power Forward and Center,Right,245lb,0,0,-1,1,40139459,15,2675963.933333333,44
79,anderda03,"June 23, 1980","Carlton, Australia",0.6,44.0,34.7,67.4,103,11.7,4.9,2.8,1.5,47.8,,37th overall,2nd round,Atlanta Hawks,2002,6-11,,David Andersen,Power Forward and Center,Right,245lb,37,2,34,1,5003478,2,2501739.0,45
80,anderal01,"October 16, 1982","Minneapolis, Minnesota",1.1,40.5,34.4,81.6,330,10.3,7.3,2.2,7.4,48.4,Michigan State University,,,,,6-6,"DeLaSalle in Minneapolis, Minnesota",Alan Anderson,Shooting Guard and Small Forward,Right,220lb,0,0,-1,12,9303787,7,1329112.4285714286,46
86,anderde01,"July 18, 1974","Louisville, Kentucky",3.4,40.8,34.1,85.3,615,15.3,12.0,3.2,43.9,46.3,"Ohio State University, University of Kentucky",13th overall,1st round,Cleveland Cavaliers,1997,6-5,"Doss in Louisville, Kentucky",Derek Anderson,Shooting Guard and Small Forward and Point Guard,Right,194lb,13,1,35,15,61473069,14,4390933.5,47
88,anderer01,"May 26, 1970","Chicago, Illinois",0.2,34.3,100.0,59.3,27,13.1,1.6,1.1,0.2,37.1,Indiana University,,,,,6-9,"Saint Francis DeSales in Chicago, Illinois",Eric Anderson,Power Forward,Right,220lb,0,0,-1,0,406531,2,203265.5,48
89,andergr01,"June 22, 1964","Houston, Texas",0.6,49.2,8.7,55.7,680,13.0,7.3,6.2,18.7,49.2,University of Houston,23rd overall,1st round,San Antonio Spurs,1987,6-10,"Evan E. Worthing in Houston, Texas",Greg Anderson,Center and Power Forward,Right,230lb,23,1,24,11,5958566,10,595856.6,49
91,anderja01,"March 25, 1989","El Dorado, Arkansas",1.2,41.1,32.1,75.5,247,9.9,5.8,2.3,3.3,48.8,Oklahoma State University,20th overall,1st round,San Antonio Spurs,2010,6-6,"Junction City in Junction City, Arkansas",James Anderson,Small Forward and Shooting Guard,Right,213lb,20,1,24,16,5602450,6,933741.6666666666,50
93,anderju01,"November 19, 1993","Montross, Virginia",0.7,41.9,30.2,77.8,216,12.9,5.3,2.6,4.7,49.0,University of Virginia,21st overall,1st round,Dallas Mavericks,2015,6-6,"Montrose Christian in Rockville, Maryland",Justin Anderson,Small Forward,Left,230lb,21,1,12,9,4735166,3,1578388.6666666667,51
94,anderke01,"October 9, 1970","Queens, New York",6.1,42.1,34.6,79.0,858,16.4,12.6,3.1,62.5,44.9,Georgia Institute of Technology,2nd overall,1st round,New Jersey Nets,1991,6-0,"Archbishop Molloy in Jamaica, New York",Kenny Anderson,Point Guard,Left,168lb,2,1,16,3,66113870,14,4722419.285714285,52
96,anderky01,"September 20, 1993","Fairview, New Jersey",1.9,49.2,32.4,70.6,300,13.5,5.3,3.9,15.4,51.4,"University of California, Los Angeles",30th overall,1st round,San Antonio Spurs,2014,6-9,"St. Anthony's in Jersey City, New Jersey",Kyle Anderson,Small Forward,Right,230lb,30,1,24,9,5816899,4,1454224.75,53
98,anderni01,"January 20, 1968","Chicago, Illinois",2.6,44.6,35.6,66.7,800,15.8,14.4,5.1,55.3,50.0,University of Illinois at Urbana-Champaign,11th overall,1st round,Orlando Magic,1989,6-6,"Simeon Vocational School in Chicago, Illinois",Nick Anderson,Shooting Guard and Small Forward,Right,205lb,11,1,25,12,44333645,13,3410280.3846153845,54
99,anderri01,"November 19, 1960","San Pedro, California",1.5,41.2,33.3,76.2,407,12.3,5.6,3.5,7.6,44.6,"University of California, Santa Barbara",32nd overall,2nd round,San Diego Clippers,1982,6-10,"Rancho Alamitos in Garden Grove, California",Richard Anderson,Center and Power Forward,Right,240lb,32,2,38,11,547254,2,273627.0,55
100,anderro01,"October 15, 1958","Chicago, Illinois",1.4,47.1,28.7,81.4,664,14.3,10.6,3.5,24.2,47.9,"California State University, Fresno",27th overall,2nd round,Cleveland Cavaliers,1984,6-7,"Bowen in Chicago, Illinois",Ron Anderson,Small Forward,Right,215lb,27,2,35,9,3429465,7,489923.5714285714,56
101,anderry01,"May 6, 1988","Sacramento, California",0.9,42.2,38.0,85.4,647,16.5,12.4,5.3,46.7,52.3,University of California,21st overall,1st round,New Jersey Nets,2008,6-10,"Oak Ridge in El Dorado Hills, California",Ryan Anderson,Power Forward,Right,240lb,21,1,16,0,81837908,10,8183790.8,57
102,andersh01,"December 31, 1973","Atlanta, Georgia",1.4,45.7,31.6,73.9,719,11.7,7.4,3.1,23.6,49.2,University of Georgia,54th overall,2nd round,Utah Jazz,1996,6-6,"Crim in Atlanta, Georgia",Shandon Anderson,Small Forward and Shooting Guard,Right,208lb,5,2,28,16,51674901,13,3974992.3846153845,58
103,anderwi01,"January 8, 1967","Greenville, South Carolina",3.8,47.1,26.6,78.6,555,13.8,12.2,3.8,27.9,47.9,University of Georgia,10th overall,1st round,San Antonio Spurs,1988,6-7,"East Atlanta in Atlanta, Georgia",Willie Anderson,Shooting Guard and Small Forward,Right,190lb,10,1,24,12,11268244,8,1408530.5,59
109,anstech01,"January 1, 1975","Melbourne, Australia",0.8,41.3,13.8,75.5,155,13.2,5.2,3.4,2.8,41.6,,18th overall,1st round,Portland Trail Blazers,1997,7-0,"Catholic Regional College in Melbourne, Australia",Chris Anstey,Center,Right,249lb,18,1,0,2,2932058,3,977352.6666666666,60
110,antetgi01,"December 6, 1994","Athens, Greece",4.1,52.1,27.7,74.2,465,21.9,18.8,8.3,53.2,53.9,,15th overall,1st round,Milwaukee Bucks,2013,6-11,,Giannis Antetokounmpo,Point Guard and Power Forward and Small Forward and Shooting Guard,Right,242lb,15,1,2,17,32404868,5,6480973.6,61
113,anthoca01,"May 29, 1984","Brooklyn, New York",3.0,44.9,34.7,81.1,1064,20.3,24.0,6.5,101.0,48.2,Syracuse University,3rd overall,1st round,Denver Nuggets,2003,6-8,"Oak Hill Academy in Mouth of Wilson, Virginia",Carmelo Anthony,Small Forward and Power Forward,Right,240lb,3,1,3,6,241836252,15,16122416.8,62
114,anthogr01,"November 15, 1967","Las Vegas, Nevada",4.0,40.3,34.9,73.3,757,14.5,7.3,1.9,35.9,46.7,"University of Portland, University of Nevada, Las Vegas",12th overall,1st round,New York Knicks,1991,6-0,"Rancho in North Las Vegas, Nevada",Greg Anthony,Point Guard,Left,176lb,12,1,11,3,19380393,12,1615032.75,63
116,anticpe01,"July 29, 1982","Skopje, FYR Macedonia",0.9,39.2,31.4,73.0,113,10.6,6.3,3.5,3.0,48.3,,,,,,6-11,,Pero Antic,Center,Right,260lb,0,0,-1,2,1302989,1,1302989.0,64
117,anunoog01,"July 17, 1997","London, United Kingdom",0.7,46.1,35.1,60.5,141,9.9,6.4,2.7,5.0,55.5,Indiana University,23rd overall,1st round,Toronto Raptors,2017,6-8,"Jefferson City in Jefferson City, Missouri",OG Anunoby,Small Forward,Right,232lb,23,1,13,9,1714942,1,1714942.0,65
118,applike01,"February 13, 1992","Detroit, Michigan",0.2,25.0,0.0,100.0,5,-4.8,1.2,0.2,-0.1,25.0,Michigan State University,,,,,6-1,"Pershing in Detroit, Michigan",Keith Appling,Point Guard,Right,185lb,0,0,-1,3,168633,1,168633.0,66
119,araujra01,"August 12, 1980","Curitiba, Brazil",0.3,40.5,25.0,67.9,139,6.3,2.8,2.8,-0.4,40.6,Brigham Young University,8th overall,1st round,Toronto Raptors,2004,6-11,"Padre Anacleto in Sao Paulo, Brazil",Rafael Araujo,Center,Right,280lb,8,1,13,2,7001616,3,2333872.0,67
125,arenagi01,"January 6, 1982","Tampa, Florida",5.3,42.1,35.1,80.3,552,19.6,20.7,3.9,51.3,48.2,University of Arizona,31st overall,2nd round,Golden State Warriors,2001,6-3,"Grant in Van Nuys, California",Gilbert Arenas,Point Guard,Right,191lb,31,2,26,3,146679796,12,12223316.333333334,68
126,arizatr01,"June 30, 1985","Miami, Florida",2.2,42.2,35.1,72.8,1011,13.3,10.7,4.8,60.0,50.2,"University of California, Los Angeles",43rd overall,2nd round,New York Knicks,2004,6-8,"Westchester in Los Angeles, California",Trevor Ariza,Small Forward and Shooting Guard,Right,215lb,43,2,11,16,79555852,14,5682560.857142857,69
129,armstbj01,"September 9, 1967","Detroit, Michigan",3.3,47.7,42.5,85.6,747,14.5,9.8,1.8,45.0,51.3,University of Iowa,18th overall,1st round,Chicago Bulls,1989,6-2,"Brother Rice in Birmingham, Michigan",B.J. Armstrong,Point Guard,Right,175lb,18,1,23,3,17074365,11,1552215.0,70
131,armstbr01,"June 16, 1980","San Francisco, California",0.2,35.2,33.3,60.0,108,4.9,2.2,0.6,-0.6,39.5,Pepperdine University,23rd overall,1st round,Houston Rockets,2001,6-5,"Vallejo in Vallejo, California",Brandon Armstrong,Shooting Guard,Left,188lb,23,1,41,4,2910532,3,970177.3333333334,71
133,armstda01,"June 22, 1968","Gastonia, North Carolina",4.0,40.9,33.4,87.1,840,16.3,9.2,2.7,49.8,48.0,Fayetteville State University,,,,,6-0,"Ashbrook in Gastonia, North Carolina",Darrell Armstrong,Point Guard,Right,170lb,0,0,-1,3,28703738,13,2207979.846153846,72
134,armsthi01,"November 11, 1984","Peekskill, New York",0.3,50.1,28.6,58.2,292,9.9,3.0,2.6,3.9,50.2,University of Connecticut,12th overall,1st round,New Orleans/Oklahoma City Hornets,2006,6-11,"Peekskill in Peekskill, New York",Hilton Armstrong,Center and Power Forward,Right,235lb,12,1,42,11,9896959,5,1979391.8,73
139,arroyca01,"July 30, 1979","Fajardo, Puerto Rico",3.1,43.8,33.8,80.6,569,13.4,6.6,1.7,20.1,45.9,Florida International University,,,,,6-2,"Colegio Santiago Apostol in Fajardo, Puerto Rico",Carlos Arroyo,Shooting Guard and Point Guard,Right,202lb,0,0,-1,13,21066261,9,2340695.6666666665,74
140,arthuda01,"March 25, 1988","Dallas, Texas",0.8,44.4,35.2,76.5,503,12.2,6.5,3.5,12.3,47.0,University of Kansas,27th overall,1st round,New Orleans Hornets,2008,6-9,"South Oak Cliff in Dallas, Texas",Darrell Arthur,Small Forward and Power Forward,Right,235lb,27,1,22,6,34630921,10,3463092.1,75
143,asikom01,"July 4, 1986","Bursa, Turkey",0.6,52.8,0.0,55.1,471,13.4,5.3,7.1,20.9,52.8,,36th overall,2nd round,Portland Trail Blazers,2008,7-0,,Omer Asik,Center,Right,255lb,36,2,0,2,62754494,8,7844311.75,76
144,askewvi01,"February 28, 1966","Memphis, Tennessee",2.2,47.9,30.0,75.4,467,12.6,7.1,2.5,22.1,49.4,University of Memphis,39th overall,2nd round,Philadelphia 76ers,1987,6-6,"Frayser in Memphis, Tennessee",Vincent Askew,Shooting Guard,Right,210lb,39,2,31,4,6105544,6,1017590.6666666666,77
145,askinke01,"December 15, 1967","Athens, Alabama",0.8,40.1,35.5,71.7,486,9.2,3.8,2.9,14.5,48.3,University of Alabama,,,,,6-7,"Athens in Athens, Alabama",Keith Askins,Small Forward,Right,197lb,0,0,-1,9,5992077,10,599207.7,78
148,atkinch01,"August 14, 1974","Orlando, Florida",3.4,41.2,36.4,77.2,696,13.1,9.9,1.7,27.9,48.9,University of South Florida,,,,,5-11,"Evans in Orlando, Florida",Chucky Atkins,Point Guard and Shooting Guard,Right,160lb,0,0,-1,14,35640868,12,2970072.3333333335,79
151,augmost01,"August 1, 1968","Pasadena, California",1.6,46.9,15.2,72.8,1001,13.7,8.0,3.2,43.8,47.0,"University of Nevada, Las Vegas",9th overall,1st round,Atlanta Hawks,1991,6-8,"John Muir in Pasadena, California",Stacey Augmon,Small Forward and Shooting Guard,Left,205lb,9,1,34,16,31310823,16,1956926.4375,80
152,augusdj01,"November 10, 1987","New Orleans, Louisiana",4.0,41.3,38.1,86.3,807,14.2,9.8,1.9,41.9,49.7,University of Texas at Austin,9th overall,1st round,Charlotte Bobcats,2008,6-0,"Hightower in Missouri City, Texas",D.J. Augustin,Point Guard,Right,183lb,9,1,20,3,37149057,10,3714905.7,81
154,austiis01,"August 18, 1969","Gridley, California",1.2,44.6,17.6,67.0,432,13.0,7.6,4.7,9.2,44.8,Arizona State University,48th overall,2nd round,Utah Jazz,1991,6-10,"Las Plumas in Oroville, California",Isaac Austin,Center,Right,255lb,48,2,28,2,23585835,9,2620648.3333333335,82
157,aventan01,"October 18, 1969","Rocky Mount, North Carolina",0.8,40.3,0.0,68.6,352,8.8,5.6,4.5,0.3,40.3,Seton Hall University,15th overall,1st round,Atlanta Hawks,1991,6-9,"Malcolm X Shabazz in Newark, New Jersey",Anthony Avent,Power Forward,Right,235lb,15,1,34,0,3554552,5,710910.4,83
159,averywi01,"August 8, 1979","Augusta, Georgia",1.4,33.0,25.5,71.4,142,7.3,2.7,0.7,-0.9,37.8,Duke University,14th overall,1st round,Minnesota Timberwolves,1999,6-2,"Oak Hill Academy in Mouth of Wilson, Virginia",William Avery,Point Guard,Right,197lb,14,1,30,3,4022171,3,1340723.6666666667,84
